variable_name,missing_count,missing_percentage,stage
employment_status,0,0,After removing induced missing rows
WCRex2,0,0,After removing induced missing rows
cantril_ladder,0,0,After removing induced missing rows
PHQ4_1,0,0,After removing induced missing rows
PHQ4_2,0,0,After removing induced missing rows
PHQ4_3,0,0,After removing induced missing rows
PHQ4_4,0,0,After removing induced missing rows
WCRex1,0,0,After removing induced missing rows
i12_health_22,0,0,After removing induced missing rows
i12_health_23,0,0,After removing induced missing rows
i12_health_25,0,0,After removing induced missing rows
r1_1,0,0,After removing induced missing rows
r1_2,0,0,After removing induced missing rows
face_mask_behaviour_scale,0,0,After removing induced missing rows
face_mask_behaviour_binary,0,0,After removing induced missing rows
protective_behaviour_scale,0,0,After removing induced missing rows
protective_behaviour_binary,0,0,After removing induced missing rows
protective_behaviour_nomask_scale,0,0,After removing induced missing rows
d1_comorbidities,0,0,After removing induced missing rows
week_number,0,0,After removing induced missing rows
RecordNo,0,0,Final cleaned data
endtime,0,0,Final cleaned data
i2_health,0,0,Final cleaned data
i9_health,0,0,Final cleaned data
i11_health,0,0,Final cleaned data
age,0,0,Final cleaned data
gender,0,0,Final cleaned data
state,0,0,Final cleaned data
household_size,0,0,Final cleaned data
employment_status,0,0,Final cleaned data
WCRex2,0,0,Final cleaned data
cantril_ladder,0,0,Final cleaned data
PHQ4_1,0,0,Final cleaned data
PHQ4_2,0,0,Final cleaned data
PHQ4_3,0,0,Final cleaned data
PHQ4_4,0,0,Final cleaned data
WCRex1,0,0,Final cleaned data
r1_1,0,0,Final cleaned data
r1_2,0,0,Final cleaned data
face_mask_behaviour_scale,0,0,Final cleaned data
face_mask_behaviour_binary,0,0,Final cleaned data
protective_behaviour_scale,0,0,Final cleaned data
protective_behaviour_binary,0,0,Final cleaned data
protective_behaviour_nomask_scale,0,0,Final cleaned data
d1_comorbidities,0,0,Final cleaned data
week_number,0,0,Final cleaned data
