model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1,logistic_reg,0.8082679207610358,0.003035641360211047,0.8164067013287117,0.0018029447180042974,0.870299389510828,0.0030184443730546483,0.7966054188726254,0.0025139129331187174,0.8123082959494243,0.0021335893625876188
model_1,binary_tree,0.8241828302953097,0.0016516594128473843,0.8397458116695552,0.003047884778022042,0.8780381204427998,0.0014133430442604099,0.8170351915291186,0.0019260848453523827,0.8318807198823701,0.0019169396848341383
model_1,xgboost,0.8595530082897133,0.002118535832814543,0.8491623339110341,0.0014711532730498976,0.9158089664621294,0.0019143304032750949,0.8438804110868888,0.001767619411736851,0.8543224030660045,0.0015856679950378334
model_1,rf,0.848838118619548,0.0030122122500893743,0.8475447718082033,0.0028991715199594716,0.909023246600153,0.0021171567897092253,0.8364372469635627,0.002865151043288696,0.8481825165439675,0.0026367457716103943
