number,value,learning_rate,max_depth,subsample,colsample_bytree,std_err
9,0.8475728346408268,0.012556871608830988,9,0.6253058859612792,0.6211576770059765,0.002184633747251444
32,0.8470415962489822,0.08075425060465931,9,0.8540226349374279,0.550352993234992,0.0026780977001923095
56,0.8449694713200149,0.012127164772246034,9,0.9754621622385458,0.8052973748184741,0.002522923738084567
98,0.8432090599577371,0.16531235334230587,4,0.8038449195679277,0.8593422801233828,0.0033545865744293696
82,0.8417862537299847,0.10678090753033756,9,0.74587909390684215,0.8879679704084993,0.003100937022595864
96,0.8413490490845086,0.1915623179357499,5,0.960528748552315,0.8281111752614378,0.002813702217893532
50,0.8406708868077235,0.17408863209886477,4,0.6237349062925205,0.6971634509041905,0.003747662752416489
26,0.8391054002061485,0.17421959615079688,5,0.7249644894851371,0.7246443271636963,0.003147671119029811
78,0.8388324932411323,0.06643139456864446,3,0.6078986941603943,0.7024339724332094,0.003084558701030005
83,0.8379568846970379,0.31369090364314617,5,0.9929024003213271,0.5018299262970686,0.002219977002573697
95,0.8378653724572759,0.5137591630360112,2,0.8965493704658002,0.7070898143574595,0.0034155419598630252
8,0.8373612248864092,0.39918675028020517,2,0.9913957385579124,0.5521436520852149,0.0031779354233524284
22,0.8364278984410939,0.0870922113279812,4,0.16530001964420082,0.621524891257286,0.003092174428581914
63,0.8356867907493918,0.2362430544081144,5,0.7712851057294756,0.5884944714605809,0.003965774990858071
61,0.8353401758412607,0.2161685410887003,8,0.8020073966355994,0.6770559811033309,0.002153451599932527
40,0.8350881174308676,0.22976689393399283,4,0.4599038433516398,0.5239158951677382,0.003459193805009209
77,0.8347839376339166,0.29476151049137117,4,0.8217335278633981,0.7695092333480715,0.004014357789165229
28,0.8346136436877465,0.7506140669877641,2,0.916864781966433,0.6373290597461164,0.00269005182354261
87,0.8342014081076893,0.24156927790725605,10,0.8406832777662203,0.774704595375806,0.002199162840688562
42,0.834129145418361,0.2330765859456733,8,0.8036910885944962,0.6637144231237471,0.002977544004541149
5,0.8327591985791003,0.14473621369106696,8,0.4569210471352563,0.7938184255734086,0.003700606750120631
84,0.8327457607938933,0.39992643712088466,2,0.5082255495013669,0.6829299129545688,0.0035951960698398337
76,0.8327246047384644,0.30234050179133193,2,0.4257719798944891,0.8167271011509001,0.003836299351962809
93,0.8327123662063994,0.36187202532775703,4,0.8305586954113096,0.8819841543212533,0.003811111189102704
74,0.8325080011709631,0.47559516743524,2,0.6248324408661574,0.5653570218011736,0.003632972907433948
6,0.8299330509245935,0.07671054234029724,2,0.44889644668437545,0.68893261263147,0.002501863877908793
7,0.8297248421290864,0.1378610907820985,2,0.21523423024918886,0.5550156250596047,0.0028089053273008223
89,0.8279654455194673,0.1277949451492168,10,0.3140015139244497,0.8006170647218824,0.003346751983513705
60,0.825359283941324,0.4909544786135666,9,0.841825839295052,0.7938092838972808,0.0042626326861541835
14,0.8247460043345314,0.42850179250352083,5,0.8758846923941747,0.7778856842778623,0.0026278226562144623
20,0.8245702676241012,0.27340293042594566,6,0.6746569566661492,0.7223705276846886,0.0037034313486329464
57,0.8216900305778801,0.4469811014900915,4,0.6340460716979578,0.5322989297099412,0.002991922373075321
47,0.8214121113497318,0.47613590125460176,4,0.6657841023756191,0.5615332426503301,0.0026683820599498714
71,0.8212080230650204,0.6181886325427332,4,0.8678279133979231,0.5112741311080754,0.004080199548189818
