model,mean_recall,mean_roc_auc,mean_accuracy
model_1,0.8164067013287117,0.870299389510828,0.7966054188726254
model_1a,0.7661788617886178,0.8217468688200396,0.7283981597657884
model_1b,0.7711876317638792,0.8338192175837116,0.7633250620347395
model_2,0.8718316594930655,0.7766761247181799,0.728962939894114
model_2a,0.6824921135646688,0.7288709487297507,0.6689799331103679
model_2b,0.7322580645161291,0.7813274440779034,0.7195037220843673
