number,value,max_depth,num_trees,splitrule,min_node_size,max_features_mode,class_weight_mode,std_err
14,0.8840709043987769,22,760,gini,115,all,balanced,0.0019231326727738177
18,0.8837256474236007,27,791,gini,127,all,none,0.0019181987607945913
29,0.883676948206112,19,627,gini,129,all,balanced,0.0019136647623057505
46,0.8832794308275247,18,700,gini,144,all,balanced,0.0018724249967323637
13,0.8805026851341855,16,402,extratrees,37,all,none,0.001647794991008541
9,0.8765734506467113,27,671,extratrees,91,all,balanced,0.0017334969685714478
10,0.8754567220945472,19,580,gini,95,sqrt,balanced,0.0023376974256585545
4,0.8728220973960609,17,706,extratrees,144,all,none,0.0017003718836978402
36,0.8712358264800288,17,364,extratrees,168,all,none,0.0016223867361970894
6,0.8709046361892462,15,460,gini,85,log2,balanced,0.002512211840530914
16,0.8704322448766405,15,237,gini,88,log2,none,0.002527576955137879
17,0.8677424217963571,30,557,gini,153,log2,balanced,0.002473216717856658
45,0.8669561712977911,6,201,gini,133,all,balanced,0.0025152079908241126
7,0.8626977051717916,25,146,extratrees,16,sqrt,none,0.0015505927732966196
47,0.8616406264838274,7,604,gini,25,sqrt,balanced,0.002418946053624005
1,0.8601180414427076,7,247,extratrees,125,all,balanced,0.0018970051581444153
31,0.8599232445727526,7,73,gini,98,sqrt,balanced,0.002856710561956035
8,0.859922176216976,18,690,extratrees,8,log2,balanced,0.0022308198122617906
2,0.8593297729387857,28,509,extratrees,16,log2,balanced,0.002182672895281875
30,0.8580645429336575,7,964,gini,77,log2,balanced,0.002225799800830978
42,0.857196859983666,7,933,gini,157,log2,balanced,0.002284880398582145
48,0.8562365861996923,15,162,extratrees,53,sqrt,none,0.0024593152076449326
38,0.855152442498718,17,282,extratrees,80,sqrt,balanced,0.002475513673452794
40,0.8542339532962336,6,660,extratrees,27,all,none,0.0022396677879575307
3,0.8524136531120017,18,126,extratrees,64,log2,balanced,0.002826617726477049
24,0.8502476804809025,19,366,extratrees,123,log2,none,0.0027818287105429505
15,0.8477676112514482,11,348,extratrees,185,sqrt,none,0.0025582933627801155
32,0.8474116707185049,19,716,extratrees,184,log2,balanced,0.0028782258814316363
28,0.847181855520313,13,125,extratrees,127,log2,none,0.0027142635441050928
21,0.845789787943249,9,721,extratrees,149,sqrt,balanced,0.002654765942155721
5,0.8457134598583123,4,627,gini,191,sqrt,none,0.002373303703287999
49,0.8451977407836508,4,437,gini,176,sqrt,none,0.0022715341442938923
41,0.8433602578773433,5,664,extratrees,147,all,none,0.0025361263334892554
26,0.8415682987977436,7,512,extratrees,61,sqrt,balanced,0.00259170506848991
43,0.8379046694269815,6,803,extratrees,50,sqrt,none,0.002603711806735601
23,0.834917309262882,2,808,gini,100,log2,balanced,0.002278992732606806
19,0.8348680461909556,2,625,gini,124,log2,balanced,0.0021931918906401447
20,0.8343625358492716,5,720,extratrees,150,sqrt,balanced,0.002442738652685802
35,0.8326236977930144,2,629,gini,75,sqrt,balanced,0.002064067192642613
33,0.8326022119712826,2,425,gini,32,sqrt,balanced,0.0019531940505285133
37,0.8325130042639266,2,750,gini,134,sqrt,none,0.002238774022669906
50,0.8320818336783726,5,50,extratrees,151,sqrt,none,0.0023332948065076563
25,0.8285986080511292,4,341,extratrees,156,all,none,0.0028551968843307752
12,0.8282082723974853,4,212,extratrees,105,log2,none,0.0031371248854849478
39,0.8251967555222123,3,251,extratrees,26,log2,balanced,0.003078484024870538
11,0.8240282710679759,2,946,extratrees,117,log2,none,0.0028371140334011186
22,0.8224564823080284,2,794,extratrees,140,sqrt,balanced,0.002134215167021064
27,0.8184869173899831,3,867,gini,74,all,none,0.002827544846643288
44,0.815408361189721,3,236,gini,152,all,balanced,0.002991867373114386
34,0.7872927389793166,2,377,gini,77,all,balanced,0.002190218936576534
