number,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,std_err
32,0.9147361507955095,0.08075425060465931,10,7,0.7964803621405736,0.510315913055092,1.300158659870116e-8,0.026409551091868818,0.0019312604282450728
22,0.9124951695629772,0.0870922113279812,6,1,0.6790188630344346,0.551215213444084,5.585681816603909e-4,1.259831610895258e-7,0.002211394041041795
35,0.9120496568925945,0.011175874250475318,8,5,0.6814834847580642,0.7554030918516219,3.165168104438197e-8,2.801628545182865e-4,0.0023203497368553053
5,0.910272612300342,0.14473621369106696,4,7,0.9089395630173385,0.6809731855988502,1.5817770651651195e-5,3.5242794494060594e-7,0.0023404681015457896
9,0.9102290602994676,0.012556871608830988,7,7,0.7851435797289014,0.8386931161396205,0.011873995601918685,1.8468763704143155e-5,0.002304765369463647
7,0.907408953580964,0.1378610907820985,10,7,0.5986611570930108,0.8307618528604508,0.017990030457577737,0.05830242064387539,0.0021533136299782657
50,0.9063956547535403,0.17408863209886477,6,9,0.5231430476298556,0.7916759234853089,2.3964163891120672e-5,0.005000905582469231,0.0021462940357458234
2,0.9062699560479023,0.4002835006848909,3,3,0.9319653517566622,0.8843230264261366,2.708727240269408e-6,0.03835759399257031,0.002715751590019488
40,0.9051231127141006,0.22976689393399283,3,3,0.58706764515955,0.7298563987016677,1.3494426400939236e-5,6.864928583597061e-8,0.002530627805954701
21,0.9041797917935266,0.2048276433092542,3,3,0.3882922212826089,0.6550650874152779,0.605181838765515,6.0069255957324146e-5,0.0024242933645369914
6,0.9014945176979405,0.07671054234029724,10,4,0.13849258651025595,0.8984473684802652,3.952050854902391e-4,5.9533036110359346e-8,0.0022978005874103977
36,0.9009665265352007,0.3736064846417867,2,9,0.9408317524008453,0.5294565455056727,0.06685547949804183,0.0018324144270619853,0.002309568264173658
29,0.8987042816213093,0.4564410061528906,3,10,0.4026620557066053,0.8448376410640777,8.116603659154797e-8,0.0036117167687861546,0.00250544299386918
30,0.8982633847018595,0.5603166831913404,2,3,0.6170652677305043,0.6456977318041026,2.7796049124957307e-8,7.28957907902074e-7,0.00269904028007226
46,0.8968503501334957,0.5758377839601598,2,7,0.5057885224698112,0.598959401063621,2.1476623207851334e-8,4.971667294652857e-5,0.0023136697739237467
4,0.8958184321670024,0.4821222242084332,7,8,0.8586270823609083,0.5304219196550548,0.015760784887908517,7.984278539312221e-7,0.0019379473543257788
15,0.8957352413071651,0.4151947881584056,2,2,0.30259412110317496,0.8413236892782152,4.522945860283537e-4,1.9069865272601396e-8,0.0022639656398612375
18,0.8954642293940388,0.6570217609847896,9,5,0.9863579808967188,0.7714225384406745,0.025783010870886837,7.384296891438873e-7,0.0016927428835327109
42,0.8942000405951879,0.2330765859456733,9,10,0.34516298449598254,0.5518764196895063,0.026026102542231172,0.10255245853555009,0.0022132492606498307
1,0.8926965255983887,0.650433810565155,9,3,0.8601700124097988,0.6653842753730714,2.7751189441240577e-8,1.3433290064898478e-7,0.001331115770366706
8,0.8925134373975362,0.39918675028020517,6,1,0.6557496659224853,0.5393274530768395,1.6416418009662502e-8,0.031178489440084247,0.0013149329322885953
20,0.8908254875325933,0.27340293042594566,9,3,0.4396714638220146,0.6586315765045583,0.13997119310170097,0.007522609385121219,0.0020549302840054554
39,0.890299574921542,0.5280140918772668,9,8,0.7652287662029267,0.7152716854587198,4.62569775247174e-4,5.924468596785924e-8,0.002119574440815433
27,0.8901037616906334,0.36155032474081966,5,8,0.30593422905076295,0.5235769940540195,8.654340326756072e-6,0.10699502389044944,0.0020499230304816814
11,0.8897957749777506,0.7667698773788288,10,4,0.8526756408857181,0.7731586238369346,1.2506817826948804e-8,0.44580448315835897,0.0020674248263760084
3,0.8876758376660889,0.6223167961719446,2,2,0.2670392965199426,0.8495627963915467,5.448342093971014e-4,4.883528606516226e-5,0.0023583968276820787
34,0.8870877539150935,0.9484988047089428,9,4,0.9665591431548819,0.6657855989411473,9.060974737003723e-8,5.847492423153917e-6,0.0016014023862394137
26,0.8862339375770918,0.17421959615079688,8,7,0.11058474108576775,0.7158402998931706,0.01738063934453694,1.1325118979473209e-4,0.0023073462419059194
14,0.8862257502302996,0.42850179250352083,3,6,0.19081842252053322,0.8943160088732839,3.718723978670187e-7,0.01638698114068114,0.0021057355110797845
31,0.8858508107327431,0.9644323566788807,7,9,0.9970775675261393,0.6117947828024626,0.06837613138163147,7.560961351884885e-4,0.0016874508721827837
17,0.8845813621246897,0.9611151744937524,8,1,0.9131823143456131,0.5640733313746751,2.8254182226910547e-6,0.006118424727847633,0.0016529831474974856
24,0.8831368662856964,0.9429805946606211,5,10,0.9080720014637336,0.7334692826494574,6.128589597078543e-7,2.6494366527389515e-6,0.0016658673866529101
10,0.8813776601558231,0.6240038946410641,3,5,0.2842873136745766,0.7024098036810755,0.13611316364545653,0.12034799202612603,0.0017159795746315137
37,0.8786077119146877,0.020929995093028994,2,5,0.48555410362314433,0.5290222309529782,4.303861875077647e-6,2.6946218382243572e-6,0.0030325137852853863
45,0.8761981825846644,0.6285926757007837,5,8,0.4818156235152856,0.6987570746801793,7.035593243970011e-4,6.108619054058327e-7,0.001638317028662842
38,0.8752569109404031,0.934519475295674,2,4,0.25322866139467803,0.7540463836863638,9.589556333049448e-5,1.5705432504331074e-7,0.0017651843551749027
