number,value,tree_depth,min_n,cost_complexity,std_err,.config
1,0.21406398233445073,10,11,7.943282347242822e-5,0.003071896419297011,pre0_mod01_post0
2,0.2110270250348965,9,14,8.75195877204175e-5,0.005221366331297249,pre0_mod02_post0
3,0.21000207306080518,11,17,9.64296357589579e-5,0.005145699894046834,pre0_mod03_post0
4,0.21768022960300118,8,10,1.062467830894042e-4,0.0021686519048454396,pre0_mod04_post0
5,0.2218551590805438,12,13,1.170633781617108e-4,0.0032985960013311847,pre0_mod05_post0
6,0.23250371999244485,12,9,1.2898117108261278e-4,0.005339980066460677,pre0_mod06_post0
7,0.21926530725064536,10,8,1.4211227076380074e-4,0.004468837980296462,pre0_mod07_post0
8,0.2162125332649479,8,14,1.5658019951383673e-4,0.0031112753568917524,pre0_mod08_post0
9,0.20974630342546424,9,20,1.7252105499420426e-4,0.005011888997811196,pre0_mod09_post0
10,0.20908445956840407,11,19,1.9008479046983887e-4,0.00561213284717399,pre0_mod10_post0
11,0.21291209761505872,10,13,2.0943662539726774e-4,0.003401126609779406,pre0_mod11_post0
12,0.21908214081150348,8,10,2.30758599619549e-4,0.004013924894136633,pre0_mod12_post0
13,0.2214729173800811,12,11,2.5425128578809717e-4,0.0037071426610482236,pre0_mod13_post0
14,0.22148197742360004,11,8,2.80135676119887e-4,0.003386895551301243,pre0_mod14_post0
15,0.21737052967471374,8,16,3.0865526123848654e-4,0.004186729615537419,pre0_mod15_post0
16,0.21262257547860833,12,15,3.400783206542651e-4,0.003315656322706494,pre0_mod16_post0
17,0.21761601078605858,9,9,3.7470044642998727e-4,0.006385434357086652,pre0_mod17_post0
18,0.21424444611654286,10,18,4.128473237715364e-4,0.005277029183722881,pre0_mod18_post0
19,0.22030896284000115,9,12,4.5487779470037773e-4,0.00488854974955543,pre0_mod19_post0
20,0.22341419294207254,11,12,5.011872336272725e-4,0.004643299254498654,pre0_mod20_post0
21,0.23648310609003842,12,8,1.0577186057820081e-4,0.005532105394999879,iter01
22,0.23648310609003842,12,8,9.843425133957495e-5,0.005532105394999879,iter02
23,0.23635153583093652,12,8,8.057153926755381e-5,0.00536529134232379,iter03
24,0.23648310609003842,12,8,8.991584523073077e-5,0.005532105394999879,iter04
25,0.23648310609003842,12,8,1.0407713772877175e-4,0.005532105394999879,iter05
26,0.23648310609003842,12,8,1.0171870597595978e-4,0.005532105394999879,iter06
27,0.2231846513649186,12,8,3.575762683842539e-4,0.0040938293165736815,iter07
28,0.23648310609003842,12,8,1.0113644357598888e-4,0.005532105394999879,iter08
29,0.23635153583093652,12,8,8.597929465621203e-5,0.00536529134232379,iter09
30,0.23648310609003842,12,8,9.567713252497698e-5,0.005532105394999879,iter10
31,0.23648310609003842,12,8,9.299514067933975e-5,0.005532105394999879,iter11
32,0.23648310609003842,12,8,9.085261237781881e-5,0.005532105394999879,iter12
33,0.2340068272802517,12,9,8.517642041601449e-5,0.005071944693330289,iter13
34,0.23648310609003842,12,8,9.189118894107012e-5,0.005532105394999879,iter14
35,0.23648310609003842,12,8,1.0370652260973777e-4,0.005532105394999879,iter15
36,0.23648310609003842,12,8,9.999632651051758e-5,0.005532105394999879,iter16
37,0.23648310609003842,12,8,1.114562081218123e-4,0.005532105394999879,iter17
38,0.23341555962660337,12,8,1.1709956025744578e-4,0.005341890210250856,iter18
39,0.23431345600734632,12,9,1.0731607525562129e-4,0.005267034477313157,iter19
40,0.2292799415243293,11,8,9.012851050089134e-5,0.004803782439411074,iter20
41,0.23648310609003842,12,8,1.07435380045377e-4,0.005532105394999879,iter21
42,0.23648310609003842,12,8,1.1117067127939039e-4,0.005532105394999879,iter22
43,0.23635153583093652,12,8,8.291114792466662e-5,0.00536529134232379,iter23
44,0.23025388084660733,12,10,1.2028481608130105e-4,0.00469908215164261,iter24
45,0.23648310609003842,12,8,9.623694294178035e-5,0.005532105394999879,iter25
46,0.23431345600734632,12,9,9.585362393473949e-5,0.005267034477313157,iter26
47,0.23648310609003842,12,8,1.0233945093860393e-4,0.005532105394999879,iter27
48,0.23648310609003842,12,8,1.0501541862480071e-4,0.005532105394999879,iter28
49,0.23648310609003842,12,8,1.0633458847657658e-4,0.005532105394999879,iter29
50,0.23648310609003842,12,8,1.0812755132783968e-4,0.005532105394999879,iter30
51,0.23648310609003842,12,8,1.0962663013082443e-4,0.005532105394999879,iter31
52,0.23648310609003842,12,8,1.0674823065782758e-4,0.005532105394999879,iter32
53,0.23635153583093652,12,8,8.868472241796725e-5,0.00536529134232379,iter33
