number,value,tree_depth,min_n,cost_complexity,std_err,.config
1,0.21894600370636058,10,11,7.943282347242822e-5,0.003778948383590286,pre0_mod01_post0
2,0.21468649654983946,9,14,8.75195877204175e-5,0.003032499245921362,pre0_mod02_post0
3,0.21818075553392088,11,17,9.64296357589579e-5,0.003625729957648188,pre0_mod03_post0
4,0.2171847031495525,8,10,1.062467830894042e-4,0.005122948105787719,pre0_mod04_post0
5,0.22799738035458086,12,13,1.170633781617108e-4,0.0038789328464791696,pre0_mod05_post0
6,0.2349272605383617,12,9,1.2898117108261278e-4,0.003890669011654431,pre0_mod06_post0
7,0.21956102257976362,10,8,1.4211227076380074e-4,0.004089033686673801,pre0_mod07_post0
8,0.2155235768087723,8,14,1.5658019951383673e-4,0.004624984010347903,pre0_mod08_post0
9,0.21380866980938718,9,20,1.7252105499420426e-4,0.004205755546653468,pre0_mod09_post0
10,0.21713702859192457,11,19,1.9008479046983887e-4,0.00351582693137573,pre0_mod10_post0
11,0.21861623155359705,10,13,2.0943662539726774e-4,0.004222393760197037,pre0_mod11_post0
12,0.21812583265013324,8,10,2.30758599619549e-4,0.004669880432278102,pre0_mod12_post0
13,0.22439763100362095,12,11,2.5425128578809717e-4,0.004469975081215363,pre0_mod13_post0
14,0.22164597851335657,11,8,2.80135676119887e-4,0.0043347789428799955,pre0_mod14_post0
15,0.2187838931304229,8,16,3.0865526123848654e-4,0.004310201193126963,pre0_mod15_post0
16,0.22227136281341806,12,15,3.400783206542651e-4,0.0038873110018469597,pre0_mod16_post0
17,0.21948583854273418,9,9,3.7470044642998727e-4,0.0036247247836741774,pre0_mod17_post0
18,0.2210534305185489,10,18,4.128473237715364e-4,0.0033424355747205064,pre0_mod18_post0
19,0.2209783318815331,9,12,4.5487779470037773e-4,0.0030921120789570446,pre0_mod19_post0
20,0.2226232962697274,11,12,5.011872336272725e-4,0.0029081120645075374,pre0_mod20_post0
21,0.24253930535628884,12,8,1.0577186057820081e-4,0.003875011631808032,iter01
22,0.2416040044066407,12,9,7.970230514990689e-5,0.0033063430494386175,iter02
23,0.2427835707453713,12,8,8.956247218634073e-5,0.0038256533677279215,iter03
24,0.24302803895948624,12,8,7.966125592207088e-5,0.0035732461516552474,iter04
25,0.24253930535628884,12,8,9.720455368867633e-5,0.003875011631808032,iter05
26,0.24312132779941245,12,8,8.470989952923e-5,0.003667984049628019,iter06
27,0.24302803895948624,12,8,8.295567052805617e-5,0.0035732461516552474,iter07
28,0.22393948128031702,8,20,4.884238391678738e-4,0.0035587082400327895,iter08
29,0.24312132779941245,12,8,8.597929465621203e-5,0.003667984049628019,iter09
30,0.24312132779941245,12,8,8.416516183731279e-5,0.003667984049628019,iter10
31,0.24312132779941245,12,8,8.666357138470684e-5,0.003667984049628019,iter11
32,0.24312132779941245,12,8,8.758761075485892e-5,0.003667984049628019,iter12
33,0.22283895265423243,12,20,4.840684811754203e-4,0.002647196624738043,iter13
34,0.24312132779941245,12,8,8.618573265198214e-5,0.003667984049628019,iter14
35,0.24312132779941245,12,8,8.632219378494815e-5,0.003667984049628019,iter15
36,0.22968704097492657,11,8,8.278350512252766e-5,0.003848131500548688,iter16
37,0.24253930535628884,12,8,1.0116430145657407e-4,0.003875011631808032,iter17
38,0.24312132779941245,12,8,8.680357362938291e-5,0.003667984049628019,iter18
39,0.24302803895948624,12,8,8.369155111441122e-5,0.0035732461516552474,iter19
40,0.22021513330942133,12,19,8.122055959131596e-5,0.003685747034516429,iter20
41,0.22343864222518275,12,8,5.000614718516683e-4,0.0026869055448228555,iter21
42,0.24312132779941245,12,8,8.695216805235972e-5,0.003667984049628019,iter22
43,0.24302803895948624,12,8,7.998231744977142e-5,0.0035732461516552474,iter23
44,0.24312132779941245,12,8,8.677340833372632e-5,0.003667984049628019,iter24
45,0.24312132779941245,12,8,8.755815120547406e-5,0.003667984049628019,iter25
46,0.23546046619867458,12,8,1.1306849883488515e-4,0.0038870271344509113,iter26
47,0.24113917213226754,12,9,9.98759525122956e-5,0.0035740475793524544,iter27
48,0.24174599260435883,12,9,8.727072246459035e-5,0.0033669752360231077,iter28
49,0.24312132779941245,12,8,8.4288797531511e-5,0.003667984049628019,iter29
50,0.24253930535628884,12,8,9.347368231483033e-5,0.003875011631808032,iter30
51,0.24312132779941245,12,8,8.516749391575411e-5,0.003667984049628019,iter31
52,0.23391314605110336,12,8,1.5958494248788312e-4,0.003932382997427567,iter32
53,0.22963116801598688,11,8,1.0488472201005749e-4,0.0039026321936802,iter33
54,0.24312132779941245,12,8,8.454999723586876e-5,0.003667984049628019,iter34
55,0.24312132779941245,12,8,8.452083100655756e-5,0.003667984049628019,iter35
56,0.22835701048712168,12,13,1.5454303671072836e-4,0.003503618557127302,iter36
57,0.24302803895948624,12,8,8.154475766177272e-5,0.0035732461516552474,iter37
58,0.24312132779941245,12,8,8.562763166293692e-5,0.003667984049628019,iter38
59,0.24312132779941245,12,8,8.52645295003037e-5,0.003667984049628019,iter39
60,0.2342105942986951,12,11,7.982310242205994e-5,0.004530040611695596,iter40
61,0.24312132779941245,12,8,8.505643526754959e-5,0.003667984049628019,iter41
62,0.24253930535628884,12,8,1.0348938651876374e-4,0.003875011631808032,iter42
63,0.24113917213226754,12,9,9.302555764805669e-5,0.0035740475793524544,iter43
64,0.24312132779941245,12,8,8.857976142769812e-5,0.003667984049628019,iter44
65,0.24312132779941245,12,8,8.617385802054278e-5,0.003667984049628019,iter45
66,0.24312132779941245,12,8,8.610811617222905e-5,0.003667984049628019,iter46
67,0.24312132779941245,12,8,8.779991368802794e-5,0.003667984049628019,iter47
68,0.24174599260435883,12,9,8.445927727442537e-5,0.0033669752360231077,iter48
69,0.24312132779941245,12,8,8.585729312754452e-5,0.003667984049628019,iter49
70,0.24113917213226754,12,9,1.0390942820329195e-4,0.0035740475793524544,iter50
71,0.24312132779941245,12,8,8.829749003916894e-5,0.003667984049628019,iter51
72,0.23112947923071667,12,8,1.9174826332220125e-4,0.0038993046175754375,iter52
73,0.24312132779941245,12,8,8.727355391526152e-5,0.003667984049628019,iter53
74,0.24312132779941245,12,8,8.80808551484615e-5,0.003667984049628019,iter54
75,0.2235330305902849,11,8,1.7307846046293475e-4,0.0045550014365123926,iter55
76,0.24312132779941245,12,8,8.676087944017088e-5,0.003667984049628019,iter56
77,0.23439439647810342,12,11,9.674683964962434e-5,0.004680645077329666,iter57
78,0.2207210536653686,12,20,2.6370106097194134e-4,0.0033784192682522855,iter58
79,0.24312132779941245,12,8,8.594448052468619e-5,0.003667984049628019,iter59
80,0.24302803895948624,12,8,8.119061450958462e-5,0.0035732461516552474,iter60
81,0.22286017455762794,12,8,3.502237058636414e-4,0.004113980484384104,iter61
82,0.24302803895948624,12,8,8.193931638109441e-5,0.0035732461516552474,iter62
83,0.24302803895948624,12,8,8.069569292575425e-5,0.0035732461516552474,iter63
84,0.24312132779941245,12,8,8.811782859240233e-5,0.003667984049628019,iter64
85,0.22403307969529276,8,8,4.88578544506255e-4,0.0035597638860955178,iter65
86,0.21561870174899228,8,20,8.017896569912932e-5,0.005211805503279424,iter66
87,0.24312132779941245,12,8,8.8276808147184e-5,0.003667984049628019,iter67
88,0.24253930535628884,12,8,9.920459683425913e-5,0.003875011631808032,iter68
89,0.24312132779941245,12,8,8.427538700856684e-5,0.003667984049628019,iter69
90,0.24312132779941245,12,8,8.467869012974039e-5,0.003667984049628019,iter70
91,0.24312132779941245,12,8,8.559482861750525e-5,0.003667984049628019,iter71
92,0.24312132779941245,12,8,8.543246212702994e-5,0.003667984049628019,iter72
93,0.22786166905786703,12,12,1.9196131558014794e-4,0.0035786017544297342,iter73
94,0.2170522157033545,12,20,1.3714484933801101e-4,0.0036342522572297155,iter74
95,0.22342329157272664,11,11,1.2920815909632302e-4,0.004352335379397256,iter75
96,0.217989149928264,10,20,2.878446231399116e-4,0.003736096429958112,iter76
97,0.24312132779941245,12,8,8.6306935820064693e-05,0.003667984049628019,iter77
98,0.23386049694267952,12,10,1.4278191835695607e-4,0.003789372037194906,iter78
99,0.24312132779941245,12,8,8.782250589334414e-5,0.003667984049628019,iter79
100,0.2223592074024732,10,8,4.596462374319826e-4,0.003125107820042241,iter80
