i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
1077.6110284055546,598.231529452702,316.84237615519964,397.146337737583,795.1497510289056,397.8009885910391,942.6321765733747,298.7974872564715,7.752237944528275,288.34597565330694,54.80785782823622,19.616575321499553,268.48597390095904,424.13635025800716,121.52120005517439,141.24422858790462,230.65178242883238,78.42468328055028,109.5897235715647,85.47360182686026,78.69207771981586,22.795755705011224,40.79132536490083,99.90023002847039,65.11672117510192,363.45873536389314,87.01478200890057,103.3960530916816,80.82051751839535,90.61284171297194,96.09462656037309,41.38886512515595,61.54180843938943,92.064595108627,32.26658795832809,64.75692566205736,82.3137795111901,12.330164644276994,84.06396303283788,33.319509702557845,53.49924822888352,80.91065609679214,12.75261581447598,79.97972691434114,33.86931307799062,53.95861838671232,75.58671529467121,13.808130653894455,86.24117590420393,32.45117572436135,52.22188103200663,82.69255434572614,13.571334379318174,80.64650942540646,93.8610898308359,27.507261080107,92.2621202650935
1077.67481452852,602.7483589281698,322.09365300528157,391.963503812495,778.4825641438262,390.4496218560446,942.0447187727445,280.2497050575445,7.281135176411584,273.7103465355787,55.551853952441085,23.283661861063763,260.9523320675136,420.46952334717264,125.8811457329565,160.8659483337215,241.13620087472785,77.77326741826604,109.65018474157559,83.55144871572313,77.17704701402373,22.675695754229373,46.596626372944996,97.23996160142786,68.4609027676874,374.3480950266127,89.4185255112886,106.84257349389414,84.93585429009451,93.1584453244826,95.75839580137291,39.64639783898343,65.30022093454001,92.96635310167947,33.58917185421899,61.150616851591174,83.82999737400722,12.178307676588288,84.0114904064259,33.593185996058345,55.21760163480171,81.20816870844216,14.078481810879556,82.5297948176825,34.48566875138091,54.69314764807628,77.18377529929948,15.763289033322627,84.31799251380164,31.878447968530143,54.73600451001566,79.3182594465389,13.634284153447721,78.03162904310675,94.71682970745215,27.876959540264334,90.62700926308622
1078.1478978035188,596.8488956458026,318.98572415328863,390.62342062025965,774.7361256874237,390.30889080999884,940.8287038379246,276.2890584988318,9.295355868659485,275.67825561866835,53.10926557092459,21.86417915772619,253.49571579369274,410.5286016614535,125.40238705452533,151.5367725612677,243.25655837244054,76.81087362766633,106.95685222107355,86.11958807638331,78.55062392689656,21.221603272552244,44.24783891103004,105.37601477826706,77.05473910874176,393.57077543728997,87.72178130122397,104.33857294576141,82.7855595442852,92.08403769955228,96.27777092799468,42.39533499806615,66.27973634952082,90.63103672290498,32.78923699702986,61.73437523003343,82.1527593756065,12.50559157970178,82.55905445847878,33.82120706291073,54.404635959390106,82.23318147313432,13.85586134747192,80.70400576980462,33.60414560352949,55.95342548368098,76.92730792392723,14.764718450910364,84.92960347784616,32.688845005403955,53.32093751978623,81.09925584552822,15.437632096092528,80.02246701278602,91.74648900156592,26.069202815153435,94.56838098441457
1104.3840307755922,596.2338504168815,315.5378198578324,385.760401815215,770.4453338179495,387.10221176497146,936.8544108823096,268.9476954308662,9.385806776611757,293.49293741371713,51.73172351989278,20.942563553747398,253.105779526341,418.89774089803296,123.6145489707924,158.20163999463077,232.77600447936473,77.53678932173561,108.19607173081397,85.75320149176515,76.48421191193445,26.806073677823324,44.63130817604691,102.98169331429595,62.971255479420364,379.7203000072144,89.95649359088522,104.40529344620987,80.80872353684201,93.74851155671122,94.26334902367086,42.48832463538707,62.915045212263486,91.27686252754987,32.50981915928884,61.952509096152745,82.52943356250829,14.460570113067197,82.04650444595144,33.52156646967559,52.64162507905453,77.52266932280122,14.080953671884481,81.8737822092147,34.51482902660803,55.06409765126094,78.21712737704199,15.271923052780476,85.35542630341,32.86876119761293,54.68455378481908,81.2576911755831,14.129443028473547,80.79336082784349,90.77186984062583,24.76539965754849,90.81762753309721
1028.6431252599705,592.7102849221653,319.3457886087574,388.9033528741997,790.9448836280208,392.20723311843955,946.161291658019,268.5461081719716,5.631608694073173,279.32800668439864,53.1743705422395,21.53233646870846,264.41607618157343,425.3132973455458,122.21253227682834,147.97460063605473,237.80113069063557,76.85538446560376,106.92875493514073,84.59438299446309,76.61530033818575,23.13085059642272,43.93256914198692,102.54163581855052,63.52914525083684,377.1800339355342,89.84338261828172,104.45041655261727,84.70447126748871,89.85679444558168,94.60080581244375,42.340494690988834,65.15758768215406,91.83564841509448,33.40307435711026,61.464311447986006,81.47055803016498,11.091387747404973,83.36015828336556,33.663259132627715,53.99819818289738,78.63344903877794,14.353935219131678,81.52152258955964,34.35882172762324,56.025499952554476,76.24408121823295,15.20402031347574,82.67753613834599,34.17347630180493,54.00592507495246,79.25690240660512,14.36318026070987,79.08509764296284,92.07097199325658,27.45218013791673,91.85446009089758
1088.1904818144853,598.946919109097,322.03653863630376,386.39239558765894,783.5486601176505,380.74559642116975,922.1783770661937,277.7698474154599,8.06057590348337,295.18565013574005,51.04828108916849,20.00360293880633,258.94715321485853,423.17815006623135,120.89576767103051,144.64780616514264,232.7728424504496,75.03497923597905,109.26313152422878,87.21025476627196,76.75215760438383,22.95336574266133,44.55308342772981,97.8580197127533,73.76541371034551,385.45789976956945,90.16898254923214,104.44733655483478,82.94120435809567,90.48985524066461,94.64623390726953,39.86777165669863,63.638980493256966,92.09334044661027,31.471073699486386,65.45704428901618,80.84279450363286,12.265022234141377,81.90304449979122,33.44079888140855,52.330851524718646,76.66394741229868,14.687630669637192,80.0228434205927,33.298215994602266,53.31901453325051,77.62820630007045,15.045872750874105,85.50632632861979,31.87843622553049,54.596321773423185,79.71959085058539,13.67354256080441,76.65685276370859,90.65888188365317,24.831165885513222,91.62932822897504
1101.6162886238167,598.1178486091396,319.90816646646005,390.1127700897903,788.868598730821,394.1985973647946,925.4882385421956,267.91859440380705,8.493534202704359,274.7857224079028,54.73691891266688,22.057006773413924,253.7627888897479,421.8909130379988,123.63506052962252,143.99175295468314,234.56379202037385,74.14516092426035,113.02064210793624,85.54610242874296,78.36385533466483,21.260276665270702,43.05169808340641,104.54370565050685,64.58015364448804,388.97834062489807,87.22490806846847,104.32000614582607,81.37922621300606,90.63313236239541,95.00735539899408,42.41179925252988,63.5710834833398,91.21506322675444,33.556782135918006,62.12911976372016,84.33552542951087,13.339371186597061,82.2054482469788,33.75874624092036,52.05038812130086,81.18682194149183,13.713235793941772,81.08592023754345,34.42491883598603,54.91722975629038,77.83604132249776,14.43796614455832,85.62126965681584,33.86277328717772,54.098806843970856,80.68712393524716,13.41265021635166,78.00726590414726,92.3361978483126,25.09120681002623,89.91214919928787
1070.1717466233888,598.094995364703,322.65482102968707,392.4371213826191,778.4035035399625,390.34455101884134,934.601195778074,290.66119608274954,6.249370518792585,305.32921468243285,56.13950717624665,28.848434835667117,265.1500596113391,418.70090522153635,123.89542489510512,151.51109053499496,247.62563298899167,74.74915960694699,108.83443390256865,84.64271962832619,77.5723336339514,22.074925185367665,42.79646388332843,103.92994136843674,67.37297931592329,384.25916993317566,88.85715096428495,104.97810418107802,79.7347797295603,91.18875969216714,94.012747697476,40.97862551990684,62.84491171109046,88.81722284868637,32.31697736054786,61.01773359198649,80.99602053930826,11.877080162519999,81.53215150289111,32.468465772801984,52.15410481919393,78.34089587451633,12.760451935866143,78.26637880035685,34.5258376740855,52.80839711706387,74.56042181262809,15.898829577073423,85.87482785660816,33.90161905873079,53.96946857154609,81.37595868991079,14.05552908816655,77.71750714432822,89.08768898523851,31.654030152937658,91.79662937149308
1077.9161434683335,589.5155463367171,317.8533536764836,388.1289146000188,769.9428438027722,380.2128676247911,922.152608937964,279.75375982525674,9.302195541646226,295.63070748663574,52.869419913875554,26.768257459766005,260.7646431848818,429.2304177946194,120.05780860638073,147.45493535444234,231.61831649540684,76.02480743951476,107.93480524469953,85.1447198092355,77.1126810201564,23.07201788742796,41.69819726757957,102.52348093442357,72.40885452555271,391.0345578171682,88.98892256736667,102.73935943589058,81.93874902208515,90.58187314666371,95.70983029906816,40.37787803295277,63.641916981658476,92.94437083360437,34.03522522128504,64.7007024414302,82.85808555925036,13.898731685975992,84.53391567036515,33.178966940837924,54.930759689011836,76.99554682615354,16.059778873700726,81.14227127669085,33.24908521125429,55.20186996729512,76.16393984839614,16.306010597607404,86.45528183043513,33.778627335272546,54.25660649134531,79.68599363200165,15.8589911050517,78.63692152080729,91.22669596378829,26.897178710551497,92.71668949235747
1107.1292536835101,587.20548935603,319.1528074067213,387.0355456775495,766.6276245030089,388.13242550385047,933.0299116878383,291.1220535756324,7.197698900859042,288.05336380748327,51.76310596303933,21.822996339859632,248.94129499173297,438.183398412329,124.32502803120848,145.8978418582281,242.31909812827575,76.90161201011671,110.35813909899129,85.12954004636308,73.86583220319768,22.375902602473744,47.12827570402657,105.25723107751571,66.97054731022959,388.25362410198375,89.29019661261215,103.82349606318384,80.58026765743233,89.03101416878042,95.67560047434164,40.691354076049485,60.782894791072685,94.3681719037146,32.15622187330141,61.883274966956314,83.94953212186755,12.615890748416152,82.79445561068891,31.845851608931056,50.89322753565154,80.12606031999692,13.721867666854358,79.99303975823177,32.57046574106422,54.12268329778629,78.56887017981619,15.193715128634473,83.9974295861042,33.91491141665711,53.254222009996305,79.2852096961621,14.226170077361939,79.48648606042354,91.83602268890239,27.332725904580645,94.71512917440496
