model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2,logistic_reg,0.7516520857987573,8.992079096242912e-4,0.8718316594930655,0.003299509958997663,0.7766761247181799,0.0032271422215612564,0.728962939894114,0.002271834694794563,0.8072873493392577,0.0018827104885815993
model_2,binary_tree,0.7752419945021078,0.002054424047687398,0.8238641798182688,0.002875014512709542,0.7574848841975815,0.0038773046727689974,0.7297415135471815,0.0023751473662926887,0.7987998895639868,0.0018180539511668716
model_2,xgboost,0.8489967661356265,0.0024643406096117432,0.7578670492587278,0.004389399868229092,0.8365539493236319,0.0027773714350005003,0.754562441606976,0.003977406583844715,0.8008396238923643,0.0035089915848470197
model_2,rf,0.7715177076612653,8.853986231170855e-4,0.8975609756097561,0.0020908993054709855,0.8268722031495525,0.002478244536840309,0.7601993148551853,0.0017290646705065348,0.8297780828207018,0.0013371182059706832
