number,value,tree_depth,min_n,cost_complexity,std_err,.config
1,0.20892116751491752,10,11,7.943282347242822e-5,0.00355561539479446,pre0_mod01_post0
2,0.19895476848601848,9,14,8.75195877204175e-5,0.0020943482517617657,pre0_mod02_post0
3,0.2015106726044226,11,17,9.64296357589579e-5,0.0017469199850987688,pre0_mod03_post0
4,0.20106003934128935,8,10,1.062467830894042e-4,0.0023932245785314365,pre0_mod04_post0
5,0.22038132897507898,12,13,1.170633781617108e-4,0.003714264972997622,pre0_mod05_post0
6,0.23526913683163683,12,9,1.2898117108261278e-4,0.004056347068023264,pre0_mod06_post0
7,0.21329843439218438,10,8,1.4211227076380074e-4,0.004249524124583193,pre0_mod07_post0
8,0.19791666666666666,8,14,1.5658019951383673e-4,0.0031818904099587095,pre0_mod08_post0
9,0.19741237788112787,9,20,1.7252105499420426e-4,0.0015284997107662594,pre0_mod09_post0
10,0.20095821267696268,11,19,1.9008479046983887e-4,0.0025161350645088007,pre0_mod10_post0
11,0.20581984175734175,10,13,2.0943662539726774e-4,0.0032499698494863304,pre0_mod11_post0
12,0.20072439525564525,8,10,2.30758599619549e-4,0.0017098986666874924,pre0_mod12_post0
13,0.22242764274014273,12,11,2.5425128578809717e-4,0.004533294537952395,pre0_mod13_post0
14,0.22234903328653327,11,8,2.80135676119887e-4,0.003742867883618018,pre0_mod14_post0
15,0.19433170995670995,8,16,3.0865526123848654e-4,0.0028160847002244244,pre0_mod15_post0
16,0.20741387694512695,12,15,3.400783206542651e-4,0.004517235258626443,pre0_mod16_post0
17,0.20327143295893296,9,9,3.7470044642998727e-4,0.0025169351834194607,pre0_mod17_post0
18,0.19794701357201358,10,18,4.128473237715364e-4,0.0027079680529752837,pre0_mod18_post0
19,0.19941947832572834,9,12,4.5487779470037773e-4,0.0021886538908212944,pre0_mod19_post0
20,0.20629396645021644,11,12,5.011872336272725e-4,0.0032437092598906958,pre0_mod20_post0
21,0.23666993901368902,12,8,8.485832193097162e-5,0.0037057961441210895,iter01
22,0.23733482874107872,12,8,1.1997224856789844e-4,0.004040395906400057,iter02
23,0.23733482874107872,12,8,1.0521687506129879e-4,0.004040395906400057,iter03
24,0.23733482874107872,12,8,1.1132006528734636e-4,0.004040395906400057,iter04
25,0.2372749575874576,12,8,1.3722696188827812e-4,0.0037302378315533726,iter05
26,0.23733482874107872,12,8,1.0774934056943439e-4,0.004040395906400057,iter06
27,0.23733482874107872,12,8,1.1551719281062406e-4,0.004040395906400057,iter07
28,0.23733482874107872,12,8,1.2076060852491883e-4,0.004040395906400057,iter08
29,0.23733482874107872,12,8,1.2552986880094935e-4,0.004040395906400057,iter09
30,0.23733482874107872,12,8,1.0836275773158874e-4,0.004040395906400057,iter10
31,0.23733482874107872,12,8,1.2337021710825456e-4,0.004040395906400057,iter11
32,0.23733482874107872,12,8,1.1056610209159321e-4,0.004040395906400057,iter12
33,0.2374437851000351,12,8,1.9149140745821215e-4,0.0039303082747577595,iter13
34,0.23441156253656253,12,8,2.4955085307810855e-4,0.0037284113125373034,iter14
35,0.2372749575874576,12,8,1.4930237162624375e-4,0.0037302378315533726,iter15
36,0.23754798832923832,12,8,1.7780920579129188e-4,0.003948313725980265,iter16
37,0.23754798832923832,12,8,1.759236810038392e-4,0.003948313725980265,iter17
38,0.23754798832923832,12,8,1.7831863148791565e-4,0.003948313725980265,iter18
39,0.23754798832923832,12,8,1.797487789069953e-4,0.003948313725980265,iter19
40,0.2375520102082602,12,8,1.7208359453023698e-4,0.003948891427740074,iter20
41,0.2375520102082602,12,8,1.7179582932974632e-4,0.003948891427740074,iter21
42,0.23754798832923832,12,8,1.7665948400302764e-4,0.003948313725980265,iter22
43,0.23754798832923832,12,8,1.7543368594855586e-4,0.003948313725980265,iter23
44,0.2375520102082602,12,8,1.7414066531700885e-4,0.003948891427740074,iter24
45,0.2375520102082602,12,8,1.7298087084236392e-4,0.003948891427740074,iter25
