model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1b,logistic_reg,0.8788489668915049,0.0017363271564632906,0.7711876317638792,0.001830501233679707,0.8338192175837116,0.0016015973921052553,0.7633250620347395,0.0015877015655629005,0.8214975789548786,0.0012358203419284416
model_1b,binary_tree,0.8495691835402381,0.0029949275977529796,0.8998946259220232,0.0026634616944332798,0.8188537493756846,0.0038774593924735105,0.816765873015873,0.003044034919159961,0.8739890726053425,0.0020027088644682944
model_1b,xgboost,0.8946728209083262,0.0012829754127275357,0.8773717498243148,0.004144085138690936,0.8927692493969726,0.0015896050472864367,0.8404466501240695,0.002598952054149102,0.885914357103975,0.002088361563424015
model_1b,rf,0.8673734891548143,0.0017757368051436132,0.9314125087842586,0.001970182117902496,0.8867241956468063,0.001988173746411909,0.8509677419354839,0.0014245856173108892,0.8982415205487709,9.488768217354581e-4
