variable,median_importance,q1,q3,iqr,mean_importance
protective_behaviour_nomask_scale,0.17594094952547729,0.17415828271486675,0.17790572126218332,0.0037474385473165728,0.17588605924451337
age,0.11540292529417084,0.11390100877254969,0.11664277899886688,0.0027417702263171917,0.11529400481425632
week_number,0.10040594462996609,0.09928000577813825,0.10165120864777408,0.0023712028696358245,0.1005061859470622
state_New South Wales,0.09253470785592138,0.09115113601654501,0.09416081616383107,0.003009680147286059,0.09269468681255197
i2_health,0.06138483742920703,0.06061821281367063,0.0622164507139588,0.0015982379002881728,0.06138592904090384
r1_1,0.05951996859568928,0.05869080753747897,0.06020818084801605,0.0015173733105370846,0.059420728294619286
cantril_ladder,0.04564207973980739,0.04497390664579749,0.04639592802837584,0.0014220213825783465,0.04572407614795791
r1_2,0.04270985889771136,0.041971150788064175,0.04359819602687257,0.0016270452388083972,0.042848873686012055
household_size,0.03088544885862287,0.030249498324947124,0.03142716241694815,0.0011776640920010267,0.030836779696564516
d1_comorbidities_Yes,0.011997700680780807,0.011608885282213483,0.012421635954202953,8.127506719894702e-4,0.012006734522815796
gender_Male,0.011897182308908537,0.011492883359726855,0.012268919904979834,7.76036545252979e-4,0.01187846993239951
WCRex2_A lot of confidence,0.011838519859550374,0.011414194230413486,0.012278680640169456,8.644864097559699e-4,0.011859112594210118
state_Tasmania,0.011801180562886442,0.011418710528257565,0.012239172918151712,8.204623898941475e-4,0.01184656317773172
i11_health_Very willing,0.011150134108482099,0.010780050344471546,0.011545121339696637,7.650709952250912e-4,0.011193022453861497
i9_health_Yes,0.010077636075515112,0.009714610698899598,0.010457221137428063,7.426104385284647e-4,0.010087301872261003
state_South Australia,0.010041144670754721,0.009803507936495055,0.010227690154829973,4.2418221833491823e-4,0.010039099519081931
state_Queensland,0.009855168121527355,0.009588610379335281,0.01001526783564961,4.2665745631432876e-4,0.009817746326366665
employment_status_Part time employment,0.009764096301031469,0.0094392744504473,0.010078702171873349,6.394277214260488e-4,0.009758659867829408
employment_status_Retired,0.008351759855130227,0.008080284745840535,0.008659479426308467,5.791946804679319e-4,0.008366923042868844
state_Western Australia,0.008331645295337357,0.008127350785631319,0.008585267960251636,4.5791717462031686e-4,0.00835863422865495
employment_status_Not working,0.00832061081843168,0.008048634122878427,0.00860788451829588,5.59250395417453e-4,0.008329931255094973
PHQ4_1_Several days,0.007951492170725008,0.007700183185589168,0.008234144092291016,5.339609067018473e-4,0.007970247415117851
WCRex1_Somewhat well,0.007867186957035947,0.007583413663560546,0.008050075530016342,4.6666186645579616e-4,0.007832726328518044
employment_status_Unemployed,0.007696144575071281,0.0073733157824821295,0.00807093485873032,6.976190762481901e-4,0.007707862288490417
WCRex1_Very well,0.007580989316865271,0.007318588412486456,0.007866352098043327,5.477636855568714e-4,0.007599265953781979
i11_health_Somewhat willing,0.007450469103054335,0.007107771516590295,0.007688739165511774,5.80967648921479e-4,0.007412120405184701
PHQ4_3_Several days,0.007448651228195692,0.007215727801497528,0.007775791662419566,5.60063860922038e-4,0.007462840662634235
d1_comorbidities_No,0.007137785621384616,0.006893012097038892,0.007381006139031533,4.8799404199264054e-4,0.007135127393048554
PHQ4_2_Not at all,0.0069053860048632785,0.006664671534503607,0.007127569225987156,4.6289769148354955e-4,0.0068989136603314185
WCRex1_Somewhat badly,0.006893054694234066,0.0065572210868080055,0.0072163773986826905,6.591563118746851e-4,0.006891408562518712
PHQ4_2_Several days,0.006527431714860201,0.006305889603605451,0.006787974910775168,4.8208530716971777e-4,0.006554452543539439
PHQ4_4_Not at all,0.006237673086851577,0.005956582070242967,0.0065333537303798195,5.767716601368525e-4,0.006249415378989662
PHQ4_4_Several days,0.005958838136944209,0.005735639001255665,0.006193823166218398,4.581841649627331e-4,0.005970193420524029
PHQ4_1_Not at all,0.005743220874476854,0.005512976162017022,0.005950836601548845,4.378604395318224e-4,0.005736608210191036
i9_health_Not sure,0.005695489410224663,0.005472023971097247,0.005944286393541361,4.7226242244411375e-4,0.005711691957149531
PHQ4_3_Not at all,0.0055289441075239915,0.005319586756374285,0.005706412612805593,3.868258564313082e-4,0.005517851438167406
WCRex2_Not very much confidence,0.005148166707248648,0.004915964751801536,0.005425963640093821,5.099988882922846e-4,0.005152000098996537
PHQ4_3_Nearly every day,0.004833861585959479,0.0045783200526766975,0.005093673622655587,5.153535699788893e-4,0.004847931355667743
PHQ4_4_Nearly every day,0.004784261394391074,0.004482160255302696,0.005115688961555352,6.335287062526557e-4,0.004806121013847164
WCRex1_Very badly,0.004607938542257004,0.004380550854919683,0.004796986271724558,4.1643541680487506e-4,0.00460352839743376
PHQ4_1_Nearly every day,0.004264327433313479,0.004047818692512811,0.004475901159190904,4.280824666780935e-4,0.004256354217912179
PHQ4_2_Nearly every day,0.003789461036421641,0.0035933962040018636,0.003987390562000268,3.939943579984043e-4,0.0038040049301319295
PHQ4_1_N/A,0.003661555713020443,0.0033974099231775137,0.0038755284468451404,4.7811852366762666e-4,0.0036490318654460014
state_Victoria,0.002490823692775111,0.002345527325951167,0.0026085549997615035,2.630276738103364e-4,0.00248458387839633
WCRex2_No confidence at all,0.002090501695607461,0.0019343270508875457,0.00226550369114322,3.311766402556741e-4,0.0021002327071743543
WCRex2_Don't know,0.002013726423692265,0.0018589502487939928,0.002187196512193148,3.2824626339915505e-4,0.0020162305030205553
state_Northern Territory,0.00170525165341414,0.0015619092020350456,0.0018218870262648652,2.599778242298196e-4,0.0017068605709064076
PHQ4_2_N/A,0.0015360555010508984,0.0014188218750336963,0.0016553000392224575,2.3647816418876115e-4,0.0015442446346041474
i11_health_Somewhat unwilling,0.0013757655753906584,0.001211978704285298,0.0015554846588766204,3.4350595459132225e-4,0.001394114879177631
d1_comorbidities_Prefer_not_to_say,0.0012234199958490735,0.0010041198758241005,0.0014452760807702636,4.411562049461632e-4,0.0012363918958353832
PHQ4_3_N/A,0.0012023973087636275,0.0010788520350706629,0.0013227808460393726,2.4392881096870975e-4,0.001206432937661139
i11_health_Not sure,0.0010812820634468132,9.469510612982446e-4,0.0012536588474330247,3.0670778613478013e-4,0.0010949921682612065
i11_health_Very unwilling,9.088076871364471e-4,8.232638932291258e-4,0.0010417250555732037,2.1846116234407783e-4,9.350969561950378e-4
PHQ4_4_Prefer not to say,5.893630160996643e-4,4.8066466781040393e-4,7.072716458251556e-4,2.2660697801475167e-4,6.11486474908538e-4
PHQ4_4_N/A,5.028062082626352e-4,4.35257652352113e-4,6.061887767761604e-4,1.7093112442404743e-4,5.294301644345585e-4
PHQ4_3_Prefer not to say,4.6648198641230636e-4,3.762946449386985e-4,5.641184581845758e-4,1.8782381324587737e-4,4.750970225409504e-4
PHQ4_2_Prefer not to say,4.0386056362063706e-4,3.2853471251778214e-4,4.988891336174003e-4,1.7035442109961818e-4,4.166172176399194e-4
PHQ4_1_Prefer not to say,3.3218270134849375e-4,2.5955736426545883e-4,4.137855284026166e-4,1.5422816413715776e-4,3.389680140036132e-4
