tree_depth,min_n,cost_complexity,mean,std_err
12,19,0.42097571631269165,0.5,0
8,20,0.44712024693113384,0.5,0
4,15,0.45691376435997944,0.5,0
16,15,0.4578258901342644,0.5,0
1,20,5.054318898652018e-4,0.2901427662497853,0.0013743976077715727
1,20,9.798583429214275e-4,0.2901427662497853,0.0013743976077715727
1,13,0.0012819920473974903,0.2901427662497853,0.0013743976077715727
1,14,0.0026960068395778997,0.2901427662497853,0.0013743976077715727
1,12,0.005968451164791727,0.2901427662497853,0.0013743976077715727
1,8,0.02014346948910188,0.2901427662497853,0.0013743976077715727
18,4,0.03781211996059444,0.2901427662497853,0.0013743976077715727
4,13,0.03830952611222121,0.2901427662497853,0.0013743976077715727
12,10,0.03969290807263209,0.2901427662497853,0.0013743976077715727
13,15,0.040201897596140734,0.2901427662497853,0.0013743976077715727
15,13,0.040584012117961185,0.2901427662497853,0.0013743976077715727
17,5,0.04149094157037003,0.2901427662497853,0.0013743976077715727
12,15,0.04195396028616135,0.2901427662497853,0.0013743976077715727
17,10,0.04306797051682872,0.2901427662497853,0.0013743976077715727
4,18,0.04557948216567164,0.2901427662497853,0.0013743976077715727
9,9,0.047101687447818494,0.2901427662497853,0.0013743976077715727
15,18,0.05088078503526146,0.2901427662497853,0.0013743976077715727
6,13,0.05135449441979776,0.2901427662497853,0.0013743976077715727
4,17,0.05233882469600957,0.2901427662497853,0.0013743976077715727
19,14,0.055234214258256316,0.2901427662497853,0.0013743976077715727
1,8,0.057533178419608956,0.2901427662497853,0.0013743976077715727
19,4,0.06178373951493921,0.2901427662497853,0.0013743976077715727
6,15,0.06606455857452537,0.2901427662497853,0.0013743976077715727
20,4,0.06919477422180817,0.2901427662497853,0.0013743976077715727
11,4,0.07570812600023177,0.2901427662497853,0.0013743976077715727
10,13,0.08229401646477355,0.2901427662497853,0.0013743976077715727
15,2,0.08312500043484627,0.2901427662497853,0.0013743976077715727
11,4,0.08850153420095737,0.2901427662497853,0.0013743976077715727
13,7,0.08859736708494677,0.2901427662497853,0.0013743976077715727
17,11,0.08876796241409975,0.2901427662497853,0.0013743976077715727
3,12,0.10241877048996026,0.2901427662497853,0.0013743976077715727
2,8,0.1087456999474065,0.2901427662497853,0.0013743976077715727
3,11,0.11471354655859353,0.2901427662497853,0.0013743976077715727
15,10,0.11757610531627619,0.2901427662497853,0.0013743976077715727
17,16,0.12168609965191932,0.2901427662497853,0.0013743976077715727
5,13,0.13158560471346706,0.2901427662497853,0.0013743976077715727
1,2,0.13234598705664977,0.2901427662497853,0.0013743976077715727
13,9,0.13509051134467345,0.2901427662497853,0.0013743976077715727
2,13,0.13511488975894279,0.2901427662497853,0.0013743976077715727
14,5,0.14326246129603176,0.2901427662497853,0.0013743976077715727
13,11,0.15303479740154108,0.2901427662497853,0.0013743976077715727
16,4,0.16487153049137462,0.2901427662497853,0.0013743976077715727
4,14,0.16616953829810374,0.2901427662497853,0.0013743976077715727
19,4,0.18421042409697475,0.2901427662497853,0.0013743976077715727
9,13,0.18511908161661503,0.2901427662497853,0.0013743976077715727
19,9,0.1901512607078607,0.2901427662497853,0.0013743976077715727
7,4,0.1944753636617751,0.2901427662497853,0.0013743976077715727
2,8,0.19754124369278936,0.2901427662497853,0.0013743976077715727
14,11,0.20374234674572744,0.2901427662497853,0.0013743976077715727
2,13,0.20628070468263435,0.2901427662497853,0.0013743976077715727
17,3,0.2073979537910269,0.2901427662497853,0.0013743976077715727
1,14,0.2154697948208753,0.2901427662497853,0.0013743976077715727
2,11,0.2313977039586995,0.2901427662497853,0.0013743976077715727
2,18,0.2412432419271938,0.2901427662497853,0.0013743976077715727
15,17,0.255112961525736,0.2901427662497853,0.0013743976077715727
16,9,0.26642190404572763,0.2901427662497853,0.0013743976077715727
6,8,0.27136610586404836,0.2901427662497853,0.0013743976077715727
20,5,0.2924374248011123,0.2901427662497853,0.0013743976077715727
8,5,0.2964079309233145,0.2901427662497853,0.0013743976077715727
1,13,0.29645729011231065,0.2901427662497853,0.0013743976077715727
19,8,0.3002853436678972,0.2901427662497853,0.0013743976077715727
3,19,0.30415879065938084,0.2901427662497853,0.0013743976077715727
7,4,0.3087607028609884,0.2901427662497853,0.0013743976077715727
4,18,0.3177510280843252,0.2901427662497853,0.0013743976077715727
1,20,0.32248332864727025,0.2901427662497853,0.0013743976077715727
1,19,0.32343095719156634,0.2901427662497853,0.0013743976077715727
16,6,0.34845160220770954,0.2901427662497853,0.0013743976077715727
8,20,0.3624229934475684,0.2901427662497853,0.0013743976077715727
3,14,0.0309197040704046,0.2526142715505801,0.016190334881891203
2,6,5.137567051392255e-4,0.2287803000140522,0.0015076274392925707
2,3,0.0014312844040813297,0.2287803000140522,0.0015076274392925707
2,15,0.005150973794296715,0.2287803000140522,0.0015076274392925707
2,9,0.006234783276408501,0.2287803000140522,0.0015076274392925707
2,16,0.006667945308460315,0.2287803000140522,0.0015076274392925707
2,3,0.011184019520725433,0.2287803000140522,0.0015076274392925707
2,11,0.017279130916792295,0.2287803000140522,0.0015076274392925707
3,19,0.02114142528478281,0.22797308031601793,0.0020597352718536212
3,3,1.6530558873408007e-4,0.22056999156869175,8.970514971286278e-4
3,8,2.9312042292015876e-4,0.22056999156869175,8.970514971286278e-4
3,20,4.41738903195788e-4,0.22056999156869175,8.970514971286278e-4
3,14,0.004707373612642936,0.22056999156869175,8.970514971286278e-4
3,4,0.006826414352635961,0.22056999156869175,8.970514971286278e-4
3,3,0.009941314714707281,0.22056999156869175,8.970514971286278e-4
11,10,0.03112387762638962,0.21705945438506097,0.0014097699330358224
11,9,0.012219862020771645,0.21571495347166925,9.078850366670073e-4
18,15,0.01324257796517828,0.21571495347166925,9.078850366670073e-4
13,7,0.013263813968634625,0.21571495347166925,9.078850366670073e-4
12,12,0.013329207929104504,0.21571495347166925,9.078850366670073e-4
20,13,0.014048211313939405,0.21571495347166925,9.078850366670073e-4
14,8,0.014315713487660043,0.21571495347166925,9.078850366670073e-4
8,20,0.014400804218579834,0.21571495347166925,9.078850366670073e-4
19,10,0.015134215575768495,0.21571495347166925,9.078850366670073e-4
13,6,0.015576185359936861,0.21571495347166925,9.078850366670073e-4
14,4,0.018665285126881096,0.21571495347166925,9.078850366670073e-4
