number,value,max_depth,num_trees,splitrule,min_node_size,max_features_mode,class_weight_mode,std_err
14,0.906987232032726,22,760,gini,115,all,balanced,0.002107377314701365
18,0.9065700676846691,27,791,gini,127,all,none,0.0021110744759270926
29,0.9064919804986963,19,627,gini,129,all,balanced,0.002097370313454899
46,0.9060400174871578,18,700,gini,144,all,balanced,0.002087642965456846
13,0.9026154620825332,16,402,extratrees,37,all,none,0.0024398448774616173
9,0.8997182342654613,27,671,extratrees,91,all,balanced,0.002523678574337813
10,0.8986113908535919,19,580,gini,95,sqrt,balanced,0.0025860217397914204
4,0.8970339750495729,17,706,extratrees,144,all,none,0.0025896476701825102
36,0.8959660483707278,17,364,extratrees,168,all,none,0.002686155037580352
6,0.8948542086280388,15,460,gini,85,log2,balanced,0.0026330157771726178
16,0.8942509016815776,15,237,gini,88,log2,none,0.0026775929723515555
17,0.8925425468796353,30,557,gini,153,log2,balanced,0.002641262367164979
7,0.8909192858369634,25,146,extratrees,16,sqrt,none,0.0026014963049045448
45,0.8908576904460787,6,201,gini,133,all,balanced,0.0026845032872762293
2,0.8882500546473684,28,509,extratrees,16,log2,balanced,0.002837119383024451
8,0.8882431066248224,18,690,extratrees,8,log2,balanced,0.002783268491218236
1,0.8866655249270068,7,247,extratrees,125,all,balanced,0.0030506409197959346
48,0.8861934009399347,15,162,extratrees,53,sqrt,none,0.002891139798687178
38,0.8856160905272691,17,282,extratrees,80,sqrt,balanced,0.002807339591505588
47,0.8852852982965634,7,604,gini,25,sqrt,balanced,0.0029688490098394183
31,0.882952636345184,7,73,gini,98,sqrt,balanced,0.0031682274849569128
3,0.8827053765203678,18,126,extratrees,64,log2,balanced,0.0031078223314275114
30,0.8825647961653161,7,964,gini,77,log2,balanced,0.003100480138736536
42,0.8821640357862195,7,933,gini,157,log2,balanced,0.003069575039917622
40,0.8814277795993567,6,660,extratrees,27,all,none,0.0031680789213619563
24,0.8806569784689369,19,366,extratrees,123,log2,none,0.0031844089876436705
15,0.8788448522179024,11,348,extratrees,185,sqrt,none,0.0031318865729521804
32,0.8785392368104673,19,716,extratrees,184,log2,balanced,0.003192166780191503
28,0.8779234000031226,13,125,extratrees,127,log2,none,0.0032267560139651375
21,0.8759212960794417,9,721,extratrees,149,sqrt,balanced,0.003558904829980831
41,0.8724351355254735,5,664,extratrees,147,all,none,0.0034307099327919263
26,0.8707135384951676,7,512,extratrees,61,sqrt,balanced,0.0036844835436764894
5,0.8697143308820086,4,627,gini,191,sqrt,none,0.0031819396901862423
49,0.8693824847377707,4,437,gini,176,sqrt,none,0.0030449396145580177
43,0.8667027534466876,6,803,extratrees,50,sqrt,none,0.003913456343252366
20,0.8621336869798741,5,720,extratrees,150,sqrt,balanced,0.00418107570046643
50,0.8620055876934126,5,50,extratrees,151,sqrt,none,0.003269948322604848
25,0.8603636489609193,4,341,extratrees,156,all,none,0.003737950267397081
23,0.8595954240635784,2,808,gini,100,log2,balanced,0.0033753520296450736
19,0.8589398703296017,2,625,gini,124,log2,balanced,0.003648356822001343
37,0.8580361785095321,2,750,gini,134,sqrt,none,0.003513016166075424
35,0.8579617702624636,2,629,gini,75,sqrt,balanced,0.0033868007575241737
33,0.8575547156775493,2,425,gini,32,sqrt,balanced,0.0030359495088030986
12,0.857320717598014,4,212,extratrees,105,log2,none,0.003911765893190501
39,0.8531090254032195,3,251,extratrees,26,log2,balanced,0.004768043082321929
11,0.8474972871485004,2,946,extratrees,117,log2,none,0.004768645412377741
22,0.8450796582978125,2,794,extratrees,140,sqrt,balanced,0.004532532615987247
27,0.8405648195856168,3,867,gini,74,all,none,0.00326425360320059
44,0.8382970025918466,3,236,gini,152,all,balanced,0.003786094726479794
34,0.7972971704373351,2,377,gini,77,all,balanced,0.0033203365571547266
