number,value,max_depth,min_node_size,max_features_mode,std_err
17,0.8496295685929832,30,7,log2,0.0028255235219901815
46,0.8492226983080642,18,8,log2,0.0026833476947989163
85,0.8492010913352377,21,25,sqrt,0.0026609425638828457
24,0.8481006006006006,19,35,sqrt,0.002720850522414724
99,0.8473905002563539,21,42,sqrt,0.0026882131168186577
86,0.8464018896945726,26,53,sqrt,0.0025030254314387618
91,0.845661026880539,31,59,sqrt,0.0020758677101967394
2,0.845415659562001,28,1,all,0.002295210250942656
7,0.8453462608950414,25,13,all,0.002452819030400548
29,0.8453316120999048,19,4,all,0.0020335977540073685
36,0.8451646158353475,17,58,sqrt,0.0022011159146309764
77,0.8444785028931371,18,26,all,0.002691222277695476
8,0.8442248956273346,18,44,log2,0.0023802179794893963
51,0.8436889328352742,14,37,all,0.0029372629533314398
68,0.8435823628506556,14,77,sqrt,0.0026811838005337063
10,0.8431136014062843,19,88,sqrt,0.002892686481511881
64,0.8429872555482312,22,61,log2,0.002475305403761722
48,0.8417591371859664,15,95,all,0.0032731632656396075
9,0.8411495641983446,27,128,sqrt,0.00284784779225058
32,0.8409807368343954,19,132,sqrt,0.0027377110393477988
72,0.8409807368343953,10,77,sqrt,0.0029013730489230926
57,0.8407807807807808,23,124,all,0.0034208263510366447
67,0.8407556947191094,14,129,sqrt,0.002680017222142149
18,0.8404343367758002,27,132,all,0.003463267480792973
3,0.8404081520544935,18,132,all,0.003469871766451911
61,0.8400542005420054,10,100,sqrt,0.002752800985491156
52,0.8396925584120706,9,115,all,0.0037252072008566966
88,0.8396733318684538,16,151,all,0.0036070645780066977
16,0.8390069032447082,15,165,all,0.0037200805222318005
38,0.8389328352742987,17,172,sqrt,0.0028627490408663515
89,0.8389291730755145,11,155,sqrt,0.0029238080331359453
90,0.8388731414341171,8,70,all,0.003678058732305038
28,0.8386916794843624,13,114,log2,0.0030455564138217274
58,0.8385362191459752,10,150,sqrt,0.002745336828542607
92,0.8383510949974364,13,181,all,0.0038434446466965996
80,0.8383185014282575,9,157,all,0.003845519174135276
4,0.8383152054493518,17,190,sqrt,0.0028392738767401013
96,0.8382628360067385,11,170,sqrt,0.002871402408210013
95,0.838236834395371,15,189,sqrt,0.0027809267994791244
56,0.8382036914963744,24,127,log2,0.0029372594602984107
14,0.8381966417637149,22,187,all,0.0038156644923779213
6,0.8380033692228814,15,131,log2,0.0028618383471601854
