model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2a,logistic_reg,0.6898920739213658,0.005464582421074721,0.6824921135646688,0.006467838660508722,0.7288709487297507,0.0066196946017216905,0.6689799331103679,0.005096906573287023,0.6860987197030782,0.004852086872146109
model_2a,binary_tree,0.6771508699345324,0.00622900620500516,0.6916403785488959,0.007262375036732703,0.6927394276861591,0.007358861516039184,0.6615384615384615,0.005185631940914943,0.6841781690911994,0.004550792792168785
model_2a,xgboost,0.7288056687701135,0.007808489270090605,0.7039432176656152,0.0026697651229985503,0.7817581979635596,0.0044520427595919594,0.7040133779264214,0.0058692436238115,0.7160950405332832,0.004574770158063823
model_2a,rf,0.7071484808215494,0.006998755005391572,0.739589905362776,0.006633050048364141,0.7773140092279713,0.004454345668368723,0.6994983277591973,0.0070283865162767516,0.7229567578463838,0.006185476001980715
