number,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,std_err
5,0.7788901736699709,0.14473621369106696,4,7,0.9089395630173385,0.6809731855988502,1.5817770651651195e-5,3.5242794494060594e-7,0.004042042001609937
35,0.7770381944834245,0.011175874250475318,8,5,0.6814834847580642,0.7554030918516219,3.165168104438197e-8,2.801628545182865e-4,0.004024012744649095
36,0.7763923347216454,0.3736064846417867,2,9,0.9408317524008453,0.5294565455056727,0.06685547949804183,0.0018324144270619853,0.004530084437381502
22,0.7762340447028975,0.0870922113279812,6,1,0.6790188630344346,0.551215213444084,5.585681816603909e-4,1.259831610895258e-7,0.0037559857597338517
9,0.7760716851712564,0.012556871608830988,7,7,0.7851435797289014,0.8386931161396205,0.011873995601918685,1.8468763704143155e-5,0.00439295730696445
32,0.7756380715560695,0.08075425060465931,10,7,0.7964803621405736,0.510315913055092,1.300158659870116e-8,0.026409551091868818,0.003531158933785433
21,0.7742023053088901,0.2048276433092542,3,3,0.3882922212826089,0.6550650874152779,0.605181838765515,6.0069255957324146e-5,0.0048342043889242
40,0.7718334979848894,0.22976689393399283,3,3,0.58706764515955,0.7298563987016677,1.3494426400939236e-5,6.864928583597061e-8,0.004194874304234048
2,0.765804865453484,0.4002835006848909,3,3,0.9319653517566622,0.8843230264261366,2.708727240269408e-6,0.03835759399257031,0.004668492082137544
30,0.7646688398801037,0.5603166831913404,2,3,0.6170652677305043,0.6456977318041026,2.7796049124957307e-8,7.28957907902074e-7,0.003630653431503116
46,0.7641947416280297,0.5758377839601598,2,7,0.5057885224698112,0.598959401063621,2.1476623207851334e-8,4.971667294652857e-5,0.004111537003485586
37,0.7628725007577714,0.020929995093028994,2,5,0.48555410362314433,0.5290222309529782,4.303861875077647e-6,2.6946218382243572e-6,0.0044442604313015876
7,0.7606095007689976,0.1378610907820985,10,7,0.5986611570930108,0.8307618528604508,0.017990030457577737,0.05830242064387539,0.0026902157096586774
15,0.7570960376977222,0.4151947881584056,2,2,0.30259412110317496,0.8413236892782152,4.522945860283537e-4,1.9069865272601396e-8,0.003846250561787722
50,0.7569838454370937,0.17408863209886477,6,9,0.5231430476298556,0.7916759234853089,2.3964163891120672e-5,0.005000905582469231,0.003380110407282231
6,0.7551187455796671,0.07671054234029724,10,4,0.13849258651025595,0.8984473684802652,3.952050854902391e-4,5.9533036110359346e-8,0.0021681197713243868
29,0.7465675763665144,0.4564410061528906,3,10,0.4026620557066053,0.8448376410640777,8.116603659154797e-8,0.0036117167687861546,0.0035205054861943063
42,0.7417052802631431,0.2330765859456733,9,10,0.34516298449598254,0.5518764196895063,0.026026102542231172,0.10255245853555009,0.005148103640147376
8,0.7411220068031029,0.39918675028020517,6,1,0.6557496659224853,0.5393274530768395,1.6416418009662502e-8,0.031178489440084247,0.0027545928352613147
4,0.7390603073745187,0.4821222242084332,7,8,0.8586270823609083,0.5304219196550548,0.015760784887908517,7.984278539312221e-7,0.0028839119703899436
11,0.7371760527408872,0.7667698773788288,10,4,0.8526756408857181,0.7731586238369346,1.2506817826948804e-8,0.44580448315835897,0.0027472915271029587
18,0.7369567901927546,0.6570217609847896,9,5,0.9863579808967188,0.7714225384406745,0.025783010870886837,7.384296891438873e-7,0.002250406055258914
26,0.7364255082681276,0.17421959615079688,8,7,0.11058474108576775,0.7158402998931706,0.01738063934453694,1.1325118979473209e-4,0.00247709443555523
20,0.7360716009744378,0.27340293042594566,9,3,0.4396714638220146,0.6586315765045583,0.13997119310170097,0.007522609385121219,0.0029094488618152045
3,0.7354130415258708,0.6223167961719446,2,2,0.2670392965199426,0.8495627963915467,5.448342093971014e-4,4.883528606516226e-5,0.006276153377473892
