number,value,max_depth,min_node_size,max_features_mode,std_err
85,0.8352996779851564,21,25,sqrt,0.002495652923969005
17,0.8343717020538594,30,7,log2,0.0033197012255688518
24,0.8339111888473147,19,35,sqrt,0.0024701452045888576
46,0.8337485824212859,18,8,log2,0.003083045648522969
99,0.8329034472070317,21,42,sqrt,0.0024526329163140495
51,0.8327990814335934,14,37,all,0.0022975391134886936
77,0.8327837371433913,18,26,all,0.0023708192174206814
7,0.8324115996683912,25,13,all,0.0024624220109051975
86,0.8323161821683972,26,53,sqrt,0.0025861694746664127
29,0.8322374312120698,19,4,all,0.0023045644132514455
2,0.8318876182955599,28,1,all,0.002340830689141549
91,0.8315698162129185,31,59,sqrt,0.002688604990878074
36,0.831482362983791,17,58,sqrt,0.00285028809031346
48,0.8310942354668969,15,95,all,0.0022497332232384263
57,0.8298158931176399,23,124,all,0.002175582676165731
3,0.8295050713032869,18,132,all,0.0021544181820339833
18,0.8295036567995808,27,132,all,0.0021542776575871614
10,0.8290932047241963,19,88,sqrt,0.0026526259076981463
88,0.8286478205572899,16,151,all,0.002068293340015301
8,0.8286477590571287,18,44,log2,0.002877934454420479
64,0.8284713765950067,22,61,log2,0.002994267354217322
68,0.8281932113662138,14,77,sqrt,0.002929067615353795
16,0.8280092643842727,15,165,all,0.002070036841451038
32,0.8270770449418577,19,132,sqrt,0.0025776286987073166
92,0.8270515223749887,13,181,all,0.002082754165174279
52,0.8269110252568862,9,115,all,0.002218012082576629
14,0.8269049674910148,22,187,all,0.0020490092206434814
9,0.8268817204301075,27,128,sqrt,0.0024643186862460527
67,0.8261908276199683,14,129,sqrt,0.002574106579959769
80,0.8254588219521135,9,157,all,0.0021007247263363613
38,0.8248757081743554,17,172,sqrt,0.0027302604225944408
90,0.8246848731743677,8,70,all,0.0021025826966286298
56,0.8241222082001854,24,127,log2,0.0027585120412394345
4,0.8238490859846053,17,190,sqrt,0.0026631573331711397
95,0.8238248549211199,15,189,sqrt,0.002651463598501957
