number,value,learning_rate,max_depth,subsample,colsample_bytree,std_err
32,0.9157887274189267,0.08075425060465931,9,0.8540226349374279,0.550352993234992,0.002132935036331075
9,0.9136098685340452,0.012556871608830988,9,0.6253058859612792,0.6211576770059765,0.002188064319430369
56,0.9135205591206458,0.012127164772246034,9,0.9754621622385458,0.8052973748184741,0.0022496909672981035
82,0.9134810276047278,0.10678090753033756,9,0.74587909390684215,0.8879679704084993,0.002251568212892581
96,0.9114841834902494,0.1915623179357499,5,0.960528748552315,0.8281111752614378,0.002496085310256118
87,0.9103526414195825,0.24156927790725605,10,0.8406832777662203,0.774704595375806,0.002243183748431699
26,0.9102093384545724,0.17421959615079688,5,0.7249644894851371,0.7246443271636963,0.0021789877694676383
98,0.9096662021640358,0.16531235334230587,4,0.8038449195679277,0.8593422801233828,0.002341759410990707
42,0.9087978847565069,0.2330765859456733,8,0.8036910885944962,0.6637144231237471,0.0023629966150201923
50,0.9087377726513342,0.17408863209886477,4,0.6237349062925205,0.6971634509041905,0.0017817181756362805
61,0.9084129525973114,0.2161685410887003,8,0.8020073966355994,0.6770559811033309,0.0020806320727399935
63,0.9078946418255344,0.2362430544081144,5,0.7712851057294756,0.5884944714605809,0.002002286036569781
83,0.9075710123034646,0.31369090364314617,5,0.9929024003213271,0.5018299262970686,0.0023267750865272304
77,0.9074676995019283,0.29476151049137117,4,0.8217335278633981,0.7695092333480715,0.0025808724817976253
5,0.9061489316439489,0.14473621369106696,8,0.4569210471352563,0.7938184255734086,0.0021622546812319235
40,0.9057711036426375,0.22976689393399283,4,0.4599038433516398,0.5239158951677382,0.002068467143386808
93,0.9054655565444127,0.36187202532775703,4,0.8305586954113096,0.8819841543212533,0.00186818867308653
22,0.904554311677362,0.0870922113279812,4,0.16530001964420082,0.621524891257286,0.0019681404352012537
20,0.9043820553655909,0.27340293042594566,6,0.6746569566661492,0.7223705276846886,0.0023376623870890404
60,0.9040057887176605,0.4909544786135666,9,0.841825839295052,0.7938092838972808,0.001641493313924708
89,0.9027711485315472,0.1277949451492168,10,0.3140015139244497,0.8006170647218824,0.0017771745496208775
14,0.9020214256717722,0.42850179250352083,5,0.8758846923941747,0.7778856842778623,0.00225333752873196
78,0.9019232165441005,0.06643139456864446,3,0.6078986941603943,0.7024339724332094,0.0023786831441519082
28,0.9018965954689525,0.7506140669877641,2,0.916864781966433,0.6373290597461164,0.0025259883324048743
95,0.9016642075350915,0.5137591630360112,2,0.8965493704658002,0.7070898143574595,0.0027858849731365143
45,0.9013896142676472,0.6285926757007837,9,0.9025637644343079,0.7168352013453841,0.0025174011758894456
8,0.9013494972442113,0.39918675028020517,2,0.9913957385579124,0.5521436520852149,0.0024124333449637016
57,0.9000447230159102,0.4469811014900915,4,0.6340460716979578,0.5322989297099412,0.00176568347418129
74,0.8998664554936219,0.47559516743524,2,0.6248324408661574,0.5653570218011736,0.002114025682940163
47,0.8995274759161241,0.47613590125460176,4,0.6657841023756191,0.5615332426503301,0.002200112440363053
84,0.8994313550985995,0.39992643712088466,2,0.5082255495013669,0.6829299129545688,0.0022005250404175144
39,0.8991409238527956,0.5280140918772668,4,0.7972275071777404,0.8945385864004494,0.0024497814837109435
76,0.8987959720986151,0.30234050179133193,2,0.4257719798944891,0.8167271011509001,0.0025548865726481096
71,0.8983912595437725,0.6181886325427332,4,0.8678279133979231,0.5112741311080754,0.0021576741477436837
