number,value,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,std_err
32,0.8562980663590419,0.08075425060465931,10,7,0.7964803621405736,0.510315913055092,1.300158659870116e-8,0.026409551091868818,0.002830619862481045
22,0.8561658609829341,0.0870922113279812,6,1,0.6790188630344346,0.551215213444084,5.585681816603909e-4,1.259831610895258e-7,0.003157702160834068
35,0.8561329011938769,0.011175874250475318,8,5,0.6814834847580642,0.7554030918516219,3.165168104438197e-8,2.801628545182865e-4,0.002812025208751251
5,0.8538436607339046,0.14473621369106696,4,7,0.9089395630173385,0.6809731855988502,1.5817770651651195e-5,3.5242794494060594e-7,0.0031209756929622217
9,0.8535624038672819,0.012556871608830988,7,7,0.7851435797289014,0.8386931161396205,0.011873995601918685,1.8468763704143155e-5,0.0034499448998280436
36,0.8489822749578847,0.3736064846417867,2,9,0.9408317524008453,0.5294565455056727,0.06685547949804183,0.0018324144270619853,0.002622331986751515
7,0.8466023950780048,0.1378610907820985,10,7,0.5986611570930108,0.8307618528604508,0.017990030457577737,0.05830242064387539,0.0019365732188899507
40,0.8455595839742182,0.22976689393399283,3,3,0.58706764515955,0.7298563987016677,1.3494426400939236e-5,6.864928583597061e-8,0.0031415610405346878
21,0.8447635135135135,0.2048276433092542,3,3,0.3882922212826089,0.6550650874152779,0.605181838765515,6.0069255957324146e-5,0.0029959311474385955
2,0.8446932908518274,0.4002835006848909,3,3,0.9319653517566622,0.8843230264261366,2.708727240269408e-6,0.03835759399257031,0.002911235525983511
50,0.8431256866622721,0.17408863209886477,6,9,0.5231430476298556,0.7916759234853089,2.3964163891120672e-5,0.005000905582469231,0.00267455841865319
30,0.8396990588149125,0.5603166831913404,2,3,0.6170652677305043,0.6456977318041026,2.7796049124957307e-8,7.28957907902074e-7,0.0028601119039269947
6,0.8347694645865378,0.07671054234029724,10,4,0.13849258651025595,0.8984473684802652,3.952050854902391e-4,5.9533036110359346e-8,0.0028040149485364834
46,0.8336200834981323,0.5758377839601598,2,7,0.5057885224698112,0.598959401063621,2.1476623207851334e-8,4.971667294652857e-5,0.003588276670076917
4,0.8331786969896726,0.4821222242084332,7,8,0.8586270823609083,0.5304219196550548,0.015760784887908517,7.984278539312221e-7,0.0041466688381479105
37,0.833028638394492,0.020929995093028994,2,5,0.48555410362314433,0.5290222309529782,4.303861875077647e-6,2.6946218382243572e-6,0.003434644427351563
8,0.8324844356551674,0.39918675028020517,6,1,0.6557496659224853,0.5393274530768395,1.6416418009662502e-8,0.031178489440084247,0.0033396748282152095
18,0.8324102761297884,0.6570217609847896,9,5,0.9863579808967188,0.7714225384406745,0.025783010870886837,7.384296891438873e-7,0.0032753146336820683
1,0.8309220500988794,0.650433810565155,9,3,0.8601700124097988,0.6653842753730714,2.7751189441240577e-8,1.3433290064898478e-7,0.0011492553447715315
15,0.8298210100344247,0.4151947881584056,2,2,0.30259412110317496,0.8413236892782152,4.522945860283537e-4,1.9069865272601396e-8,0.0038421988792424052
20,0.8292347835640519,0.27340293042594566,9,3,0.4396714638220146,0.6586315765045583,0.13997119310170097,0.007522609385121219,0.002914227424063378
11,0.8281419834468615,0.7667698773788288,10,4,0.8526756408857181,0.7731586238369346,1.2506817826948804e-8,0.44580448315835897,0.0016258918661729487
34,0.8278367391782026,0.9484988047089428,9,4,0.9665591431548819,0.6657855989411473,9.060974737003723e-8,5.847492423153917e-6,8.581014057142566e-4
