number,value,max_depth,min_node_size,max_features_mode,std_err
29,0.9098304370228114,19,4,all,0.001927659240744689
2,0.9097354384280294,28,1,all,0.0018867994648207149
7,0.9097271339797336,25,13,all,0.0019974235423124696
77,0.9095620306181398,18,26,all,0.00204665482332062
51,0.909023246600153,14,37,all,0.0021171567897092253
48,0.9074147988976845,15,95,all,0.0021820354555982923
57,0.9066093454806626,23,124,all,0.0021472369459661004
18,0.9063345472855872,27,132,all,0.0021391707439929073
3,0.9063016612799975,18,132,all,0.002149942705889683
88,0.9057787445157462,16,151,all,0.0021272056754342065
16,0.9053824632691617,15,165,all,0.00213444607682425
14,0.9047857432822771,22,187,all,0.0021084649181294223
92,0.9047415569815916,13,181,all,0.002159423716253152
52,0.9039992700672943,9,115,all,0.002328738419621871
85,0.9038638031445657,21,25,sqrt,0.0024970126852247635
80,0.9031702987649695,9,157,all,0.002285874438683638
17,0.9030721969803426,30,7,log2,0.002235714911391503
24,0.9026516269302232,19,35,sqrt,0.0024030984971065168
99,0.902245577466548,21,42,sqrt,0.0025292966538078424
46,0.902021776976283,18,8,log2,0.0021986168913036186
90,0.9020099302075039,8,70,all,0.0023353015122155626
86,0.9011308101862694,26,53,sqrt,0.002527110515247589
91,0.9007294057489031,31,59,sqrt,0.0025106849481424296
36,0.9002711875653817,17,58,sqrt,0.0025093976481899015
10,0.898813527565694,19,88,sqrt,0.0026098427882780746
68,0.8983129381547925,14,77,sqrt,0.0025517613581969535
8,0.8981521968242072,18,44,log2,0.002382620664629899
47,0.8973719007135385,7,91,all,0.002413557693396457
69,0.8973344087154745,7,98,all,0.002411465399910019
83,0.8971523353943198,7,133,all,0.0024051250126983638
30,0.8970538530298062,7,154,all,0.0024000148943082596
64,0.8969991568691742,22,61,log2,0.002537956802971153
9,0.8967703014973379,27,128,sqrt,0.0026200693852963895
32,0.896585476290849,19,132,sqrt,0.002659234904511744
67,0.8958935235061751,14,129,sqrt,0.0026862196871643928
38,0.8947852748762627,17,172,sqrt,0.0026507072736694274
95,0.8941603627023904,15,189,sqrt,0.002728082171128509
4,0.8941583134260778,17,190,sqrt,0.0026364890455365443
56,0.8937487314003778,24,127,log2,0.0025876639450287385
72,0.8934574609271316,10,77,sqrt,0.0027719671824304867
66,0.892904488110294,14,127,log2,0.0026190350377028266
89,0.8929008384467657,11,155,sqrt,0.002729196052196916
61,0.8927374232985151,10,100,sqrt,0.0028311364717426455
6,0.8926198924227521,15,131,log2,0.002648047275316124
13,0.8925848985900979,16,140,log2,0.002678258628563625
59,0.892567528533733,18,149,log2,0.0025902499042037537
96,0.8924764430808625,11,170,sqrt,0.0027659699428687783
28,0.8924585655846488,13,114,log2,0.002765354232541928
15,0.8919650998485487,11,198,sqrt,0.002789997852531104
58,0.8917031828188674,10,150,sqrt,0.0028411816101976198
43,0.8908602276453229,6,191,all,0.002647425166593734
74,0.8893946242603088,9,168,sqrt,0.0028916577263571695
70,0.889102865864131,9,184,sqrt,0.002835734492900175
21,0.8881562368260808,9,58,log2,0.0028752109333231492
76,0.887680531484691,8,80,sqrt,0.002951052903047752
98,0.8846708276734273,8,109,log2,0.002966876237820697
26,0.8845619037581776,7,17,sqrt,0.003084505876343886
55,0.884470447483879,8,153,log2,0.0028659663698269054
42,0.8837166260714787,7,144,sqrt,0.003076298675203425
31,0.8823325643667932,7,35,log2,0.0028609566464785413
97,0.8817898184146018,5,39,all,0.0030101730936134487
1,0.8817792987961965,7,132,log2,0.002930956469867319
93,0.8815374841912971,7,196,log2,0.0028004563703993056
100,0.880045337798804,6,32,sqrt,0.0031801139605292274
87,0.8794481396474464,6,176,sqrt,0.0030104735391018205
78,0.8786296977219854,6,27,log2,0.0028316973041097684
40,0.8785277608631161,6,16,log2,0.002870925714695504
45,0.8785277608631161,6,16,log2,0.002870925714695504
73,0.8783929575155744,6,75,log2,0.0028489061511179307
20,0.8746837088388215,5,20,sqrt,0.0031742961272874493
71,0.8742201430199698,5,32,log2,0.0028132473786853943
41,0.8741486135181976,5,64,log2,0.002827108598737692
84,0.8741128780426873,5,144,log2,0.002827739079594512
65,0.8741107311817884,5,74,log2,0.002854408601990931
50,0.8740991576498509,5,105,log2,0.0028647009754372856
53,0.869628017315409,4,185,log2,0.0029842344435651352
5,0.8695731747778974,4,66,log2,0.00301344224161565
12,0.869547256311771,4,124,log2,0.003002362447152184
60,0.8686439255546708,4,140,sqrt,0.0030239195245953788
63,0.8650979456492888,3,156,log2,0.002794359385250675
25,0.8647105738754353,4,73,all,0.0030169621870498615
49,0.8647105738754353,4,117,all,0.0030169621870498615
27,0.8625028397114619,3,21,sqrt,0.0029717432384078727
79,0.8624984679219948,3,147,sqrt,0.0029710040528323966
39,0.8624983508204912,3,125,sqrt,0.0029727169761807654
94,0.8624971798054554,3,184,sqrt,0.0029706765290517774
19,0.8592083548019424,2,136,log2,0.003446242503710835
62,0.8592083548019424,2,123,log2,0.003446242503710835
81,0.8592083548019424,2,50,log2,0.003446242503710835
11,0.8564746592346245,2,11,sqrt,0.002819534222450536
22,0.8564746592346245,2,103,sqrt,0.002819534222450536
37,0.8564746592346245,2,89,sqrt,0.002819534222450536
75,0.8564746592346245,2,134,sqrt,0.002819534222450536
44,0.8382727040298531,3,85,all,0.003794909459917726
54,0.8382727040298531,3,88,all,0.003794909459917726
82,0.8382727040298531,3,152,all,0.003794909459917726
23,0.7972971704373351,2,198,all,0.0033203365571547266
33,0.7972971704373351,2,171,all,0.0033203365571547266
34,0.7972971704373351,2,181,all,0.0033203365571547266
35,0.7972971704373351,2,9,all,0.0033203365571547266
