number,value,max_depth,num_trees,splitrule,min_node_size,max_features_mode,class_weight_mode,std_err
10,0.7751392054065583,19,580,gini,95,sqrt,balanced,0.004127035209238292
16,0.7744087980062193,15,237,gini,88,log2,none,0.004106376526847558
6,0.7743630510681769,15,460,gini,85,log2,balanced,0.003720100304886005
17,0.7726450149870338,30,557,gini,153,log2,balanced,0.003926018792679129
14,0.7685892542407131,22,760,gini,115,all,balanced,0.004462302352060563
47,0.7681153664806852,7,604,gini,25,sqrt,balanced,0.0034991639731390784
18,0.768096141540465,27,791,gini,127,all,none,0.004577276926157841
29,0.7679587603983071,19,627,gini,129,all,balanced,0.00459703757542054
46,0.7673995531955499,18,700,gini,144,all,balanced,0.004655873811666807
30,0.7664496727550322,7,964,gini,77,log2,balanced,0.003498755975226157
42,0.7656168258922056,7,933,gini,157,log2,balanced,0.0035306664358757
31,0.76554610056468,7,73,gini,98,sqrt,balanced,0.0034957962392182817
49,0.758683919530294,4,437,gini,176,sqrt,none,0.0030085406482337975
5,0.758626385037664,4,627,gini,191,sqrt,none,0.003109050128387301
45,0.7578523356197447,6,201,gini,133,all,balanced,0.004210137921453351
13,0.7570697261919462,16,402,extratrees,37,all,none,0.005101098487154334
9,0.7544660799083939,27,671,extratrees,91,all,balanced,0.0057163502885012
37,0.7520868883101137,2,750,gini,134,sqrt,none,0.00289083468123282
35,0.7519485248717401,2,629,gini,75,sqrt,balanced,0.0028798670959962348
23,0.7519118992557001,2,808,gini,100,log2,balanced,0.0032817504567726414
4,0.7518551365672396,17,706,extratrees,144,all,none,0.005832804565651185
19,0.7517253331387451,2,625,gini,124,log2,balanced,0.0030408007269452954
33,0.7512122938581227,2,425,gini,32,sqrt,balanced,0.003032308272532343
36,0.7507054991748712,17,364,extratrees,168,all,none,0.005813615741893809
7,0.7477714505427888,25,146,extratrees,16,sqrt,none,0.004243191820482612
8,0.746276676358656,18,690,extratrees,8,log2,balanced,0.004515367368504036
2,0.7454300773488106,28,509,extratrees,16,log2,balanced,0.004580788242737274
48,0.7409313010092392,15,162,extratrees,53,sqrt,none,0.004915457487505011
38,0.740550450733635,17,282,extratrees,80,sqrt,balanced,0.005133495854949309
1,0.7366891846380098,7,247,extratrees,125,all,balanced,0.006585521795505555
24,0.735748706175556,19,366,extratrees,123,log2,none,0.004953986166592396
3,0.7356165171705379,18,126,extratrees,64,log2,balanced,0.005144008758641542
27,0.7351698530484861,3,867,gini,74,all,none,0.0023263963760368003
15,0.7347904060531899,11,348,extratrees,185,sqrt,none,0.005677657513464993
44,0.7346373081715819,3,236,gini,152,all,balanced,0.0023440061111257592
32,0.7342424250928972,19,716,extratrees,184,log2,balanced,0.005011588534316203
28,0.7333276266600806,13,125,extratrees,127,log2,none,0.005205388274066797
21,0.7325565241308082,9,721,extratrees,149,sqrt,balanced,0.005285449761585206
40,0.7313873109781425,6,660,extratrees,27,all,none,0.006435991213063655
26,0.7304641630274931,7,512,extratrees,61,sqrt,balanced,0.0053123792694673815
43,0.7282735723026146,6,803,extratrees,50,sqrt,none,0.005498190063412892
20,0.7255991305275211,5,720,extratrees,150,sqrt,balanced,0.005575091383051866
50,0.7253122298685407,5,50,extratrees,151,sqrt,none,0.006589071950479888
41,0.7240934107569855,5,664,extratrees,147,all,none,0.006884825687713466
22,0.7177474263839151,2,794,extratrees,140,sqrt,balanced,0.006397066840903266
12,0.7176010642477857,4,212,extratrees,105,log2,none,0.0058766133759239544
25,0.7169478372643893,4,341,extratrees,156,all,none,0.007087706001656014
34,0.7154348906002672,2,377,gini,77,all,balanced,0.002338610602819479
39,0.7144980606666143,3,251,extratrees,26,log2,balanced,0.006093112358261388
11,0.7141795862007028,2,946,extratrees,117,log2,none,0.005909274257406621
